reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
46_BLA_CA1,"Aston Flamville",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44001472
46_BLA_CA2,"Blaby",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44001613
46_BLA_CA3,"Cosby",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44001615
46_BLA_CA4,"Countesthorpe",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44004685
46_BLA_CA5,"Croft",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44006467
46_BLA_CA6,"Enderby",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44005533
46_BLA_CA7,"Glenfield",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44005534
46_BLA_CA8,"Grand Union Canal",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44001471
46_BLA_CA9,"Kirby Fields",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44001614
46_BLA_CA10,"Narborough",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44005535
46_BLA_CA11,"Wigston Parva",,"","https://www.blaby.gov.uk/planning-and-building/conservation/conservation-areas/","No appraisal document",,,,44001616
