reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_70_CAB_CA1_1,70_CAB_CA1,"Barrow Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1612/barrow_road_conservation-area-appraisal-2016.pdf",area-appraisal,"",,,,44006862
D_70_CAB_CA1_2,70_CAB_CA1,"Barrow Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1613/barrow_road_conservation-area-map-2016.pdf,area-map,"",,,,44006862
D_70_CAB_CA2_1,70_CAB_CA2,"Brooklands","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1614/brooklands-avenue-conservation-area-appraisal-2013.pdf",area-appraisal,"Extra documents are available. ",,,,44005700
D_70_CAB_CA2_2,70_CAB_CA2,"Brooklands","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1615/brooklands-conservation-area-map.jpg,area-map,"Extra documents are available. ",,,,44005700
D_70_CAB_CA3_1,70_CAB_CA3,"Castle and Victoria Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1616/castle-and-victoria-road-conservation-area-appraisal-2012_with-addendum-2013.pdf",area-appraisal,"",,,,44006864
D_70_CAB_CA3_2,70_CAB_CA3,"Castle and Victoria Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1617/castle-and-victoria-road-conservation-area-map-2013.pdf,area-map,"",,,,44006864
D_70_CAB_CA4_1,70_CAB_CA4,"Central","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/historic-core-appraisals/",area-appraisal,"",,,,44006863
D_70_CAB_CA4_2,70_CAB_CA4,"Central","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1563/historic-core-appraisal-2016-area-map.pdf,area-map,"",,,,44006863
D_70_CAB_CA5_1,70_CAB_CA5,"Chesterton","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/2548/chesterton-ferry-lane-conservation-area-appraisal-final-may-2022.pdf",area-appraisal,"",,,,44002383
D_70_CAB_CA5_2,70_CAB_CA5,"Chesterton","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1618/chesterton-conservation-area-map.jpg,area-map,"",,,,44002383
D_70_CAB_CA6_1,70_CAB_CA6,"Conduit Head Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/o1gko1ol/conduit-head-road-ca-appraisal-1.pdf",area-appraisal,"",,,,44003137
D_70_CAB_CA6_2,70_CAB_CA6,"Conduit Head Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1621/conduit-head-road-conservation-area-map.jpg,area-map,"",,,,44003137
D_70_CAB_CA7_1,70_CAB_CA7,"De Freville","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/2398/de-freville-2020.pdf",area-appraisal,"",,,,44002384
D_70_CAB_CA7_2,70_CAB_CA7,"De Freville","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1623/defreville-conservation-area-map.jpg,area-map,"",,,,44002384
D_70_CAB_CA8_1,70_CAB_CA8,"Ferry Lane","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/2548/chesterton-ferry-lane-conservation-area-appraisal-final-may-2022.pdf",area-appraisal,"",,,,44002382
D_70_CAB_CA8_2,70_CAB_CA8,"Ferry Lane","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1625/ferrylane-conservation-area-map.jpg,area-map,"",,,,44002382
D_70_CAB_CA9_1,70_CAB_CA9,"The Kite","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1634/the-kite-conservation-area-appraisal-2014.pdf",area-appraisal,"",,,,44006865
D_70_CAB_CA9_2,70_CAB_CA9,"The Kite","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1638/the-kite-conservation-area-map.pdf,area-map,"",,,,44006865
D_70_CAB_CA10_1,70_CAB_CA10,"Mill Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1626/mill-road-conservation-area-appraisal-2011.pdf",area-appraisal,"",,,,44006866
D_70_CAB_CA10_2,70_CAB_CA10,"Mill Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1639/mill-road-conservation-area-map.pdf,area-map,"",,,,44006866
D_70_CAB_CA11_1,70_CAB_CA11,"New Town and Glisson Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1628/new-town-and-glisson-road-conservation-area-appraisal-2012.pdf",area-appraisal,"",,,,44006867
D_70_CAB_CA11_2,70_CAB_CA11,"New Town and Glisson Road","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1641/new-town-and-glisson-road-conservation-area-map.pdf,area-map,"",,,,44006867
D_70_CAB_CA12_1,70_CAB_CA12,"Newnham Croft","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1627/newnham-croft-conservation-area-appraisal-2013.pdf",area-appraisal,"",,,,44006868
D_70_CAB_CA12_2,70_CAB_CA12,"Newnham Croft","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1640/newnham-croft-conservation-area-map.pdf,area-map,"",,,,44006868
D_70_CAB_CA13_1,70_CAB_CA13,"Riverside and Stourbridge Common","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1629/riverside-and-stourbridge-common-conservation-area-appraisal-2012.pdf",area-appraisal,"",,,,44006869
D_70_CAB_CA13_2,70_CAB_CA13,"Riverside and Stourbridge Common","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1642/riverside-and-stourbridge-common-conservation-area-map.pdf,area-map,"",,,,44006869
D_70_CAB_CA14_1,70_CAB_CA14,"Southacre","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1631/southacre-conservation-area-appraisal-2013.pdf",area-appraisal,"",,,,44003139
D_70_CAB_CA14_2,70_CAB_CA14,"Southacre","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1630/southacre-conservation-area-map.jpg,area-map,"",,,,44003139
D_70_CAB_CA15_1,70_CAB_CA15,"Storey’s Way","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/","https://www.greatercambridgeplanning.org/media/1633/storeys-way-conservation-area-appraisal-2018.pdf",area-appraisal,"",,,,44002385
D_70_CAB_CA15_2,70_CAB_CA15,"Storey’s Way","https://www.greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/",https://www.greatercambridgeplanning.org/media/1632/storeys-way-conservation-area-map.jpg,area-map,"",,,,44002385
