reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
156_HAL_CA1,"Hale Road",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44007962
156_HAL_CA2,"Hale Bank",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000381
156_HAL_CA3,"Hale Village",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000380
156_HAL_CA4,"Victoria Square",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000385
156_HAL_CA5,"West Bank Promenade",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000386
156_HAL_CA6,"Higher Runcorn",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000383
156_HAL_CA7,"Weston Village",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000387
156_HAL_CA8,"Halton",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44007963
156_HAL_CA9,"Moore",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44000384
156_HAL_CA10,"Daresbury",,"","https://www3.halton.gov.uk/Pages/planning/Conservation.aspx","Polygons on interactive map. No appraisal document",,,,44007961
