reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_242_NTY_CA1_1,242_NTY_CA1,"Backworth Village","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006312
D_242_NTY_CA1_2,242_NTY_CA1,"Backworth Village","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside",https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Backworth%20Village_0.pdf,area-map,"Polygons on interactive map. No appraisal document",,,,44006312
D_242_NTY_CA2_1,242_NTY_CA2,"Benton","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Longbenton%20and%20Benton%20CACA_0.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",,,,44006310
D_242_NTY_CA3_1,242_NTY_CA3,"Camp Terrace","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Camp%20Terrace%20CA%20CA_0.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 6 of the appraisal document. ",,,,44006300
D_242_NTY_CA4_1,242_NTY_CA4,"Cullercoats","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/cullercoats%20CA%20CA_0.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",,,,44006313
D_242_NTY_CA5_1,242_NTY_CA5,"Earsdon Village","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Earsdon%20Village%20CA%20CA.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 6 of the appraisal document. ",,,,44006302
D_242_NTY_CA6_1,242_NTY_CA6,"Fish Quay","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Fish%20Quay%20Neighbourhood%20Plan%20Supplementary%20Planning%20Document_0.pdf",area-appraisal,"Polygons on interactive mapExtra documents are available. ",,,,44006307
D_242_NTY_CA6_2,242_NTY_CA6,"Fish Quay","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside",https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Fish%20Quay%20Neighbourhood%20Plan%20Supplementary%20Planning%20Document%20Map_0.pdf,area-map,"Polygons on interactive mapExtra documents are available. ",,,,44006307
D_242_NTY_CA7_1,242_NTY_CA7,"Killingworth Village","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/killingworth%20CA%20CA.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",,,,44006305
D_242_NTY_CA8_1,242_NTY_CA8,"Longbenton Village","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006299
D_242_NTY_CA9_1,242_NTY_CA9,"Monkseaton","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Monkseaton%20CACA%20april%2018.pdf",area-appraisal,"Polygons on interactive mapExtra documents are available. ",,,,44006308
D_242_NTY_CA9_2,242_NTY_CA9,"Monkseaton","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside",https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/monkseaton%20CA.pdf,area-map,"Polygons on interactive mapExtra documents are available. ",,,,44006308
D_242_NTY_CA10_1,242_NTY_CA10,"New Quay","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006314
D_242_NTY_CA11_1,242_NTY_CA11,"Northumberland Square","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Northumberland%20Square%20Character%20Appraisal%202020_0.pdf",area-appraisal,"Polygons on interactive mapExtra documents are available. Best Map is shown on page 4 of the appraisal document. ",,,,44006301
D_242_NTY_CA12_1,242_NTY_CA12,"Preston Park","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/Preston%20Park%20CA%20CA%2009.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 4 of the appraisal document. ",,,,44006304
D_242_NTY_CA13_1,242_NTY_CA13,"Sacred Heart Church, Wideopen","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/sacred%20heart%20CA%20CA.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",,,,44006309
D_242_NTY_CA14_1,242_NTY_CA14,"St Mary's Island","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/st%20marys%20island%20CA%20CA.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",,,,44006303
D_242_NTY_CA15_1,242_NTY_CA15,"St Peter's","https://my.northtyneside.gov.uk/category/1158/conservation-areas-north-tyneside","https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/st%20peters%20CA%20CA.pdf",area-appraisal,"Polygons on interactive mapBest Map is shown on page 2 of the appraisal document. ",,,,44006306
