reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_271_ROT_CA1_1,271_ROT_CA1,"Wath upon Dearne","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006179
D_271_ROT_CA1_2,271_ROT_CA1,"Wath upon Dearne","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006179
D_271_ROT_CA2_1,271_ROT_CA2,"Barrow","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006478
D_271_ROT_CA2_2,271_ROT_CA2,"Barrow","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006478
D_271_ROT_CA3_1,271_ROT_CA3,"Wentworth","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006477
D_271_ROT_CA3_2,271_ROT_CA3,"Wentworth","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006477
D_271_ROT_CA4_1,271_ROT_CA4,"Swinton","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006178
D_271_ROT_CA4_2,271_ROT_CA4,"Swinton","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006178
D_271_ROT_CA5_1,271_ROT_CA5,"Thorpe Hesley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006180
D_271_ROT_CA5_2,271_ROT_CA5,"Thorpe Hesley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006180
D_271_ROT_CA6_1,271_ROT_CA6,"Scholes","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006193
D_271_ROT_CA6_2,271_ROT_CA6,"Scholes","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006193
D_271_ROT_CA7_1,271_ROT_CA7,"Greasebrough","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006195
D_271_ROT_CA7_2,271_ROT_CA7,"Greasebrough","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006195
D_271_ROT_CA8_1,271_ROT_CA8,"Ravenfield","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006176
D_271_ROT_CA8_2,271_ROT_CA8,"Ravenfield","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006176
D_271_ROT_CA9_1,271_ROT_CA9,"Rotherham Town Centre","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006194
D_271_ROT_CA9_2,271_ROT_CA9,"Rotherham Town Centre","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006194
D_271_ROT_CA10_1,271_ROT_CA10,"Eastwood","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006196
D_271_ROT_CA10_2,271_ROT_CA10,"Eastwood","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006196
D_271_ROT_CA11_1,271_ROT_CA11,"Dalton Parva","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006177
D_271_ROT_CA11_2,271_ROT_CA11,"Dalton Parva","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006177
D_271_ROT_CA12_1,271_ROT_CA12,"Wickersley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006175
D_271_ROT_CA12_2,271_ROT_CA12,"Wickersley","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006175
