reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
318_STH_CA1,"Bassett Green Village",,"https://www.southampton.gov.uk/media/vsjpmet0/bassett-green-village-leaflet-1987_tcm63-363416.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/bassett-green-village/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 2 of the appraisal document. ",,,,44004322
318_STH_CA2,"Canute Road",,"https://www.southampton.gov.uk/media/mpbhmcx3/canute_road_conservation_area_appraisal_tcm63-363417.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/canute-road/","Polygons on interactive mapBest Map is shown on page 42 of the appraisal document. ",,,,44004332
318_STH_CA3,"Carlton Crescent",,"https://www.southampton.gov.uk/media/cbth4puu/carlton-crescent-conservation-area-appraisal-management-plan_tcm63-363326.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/carlton-crescent/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 4 of the appraisal document. ",,,,44005373
318_STH_CA4,"Cranbury Place",,"https://www.southampton.gov.uk/media/flcbgkvu/cranbury-place-conservation-area-appraisal-management-plan-2013_tcm63-363335.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/cranbury-place/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 4 of the appraisal document. ",,,,44008198
318_STH_CA5,"Ethelburt Avenue",,"https://www.southampton.gov.uk/media/bhlodkjj/ethelburt-avenue-conservation-area-appraisal-management-plan-approved.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/ethelburt-avenue/","Polygons on interactive mapBest Map is shown on page 4 of the appraisal document. ",,,,44004323
318_STH_CA6,"Itchen Valley",,"https://www.southampton.gov.uk/media/qkchzwpz/itchen-valley-conservation-area-leaflet-1993_tcm63-363341.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/itchen-valley/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 2 of the appraisal document. ",,,,44004324
318_STH_CA7,"Oakmount Triangle",,"https://www.southampton.gov.uk/media/ni3f52xv/otra-character-appraisal-management-plan_tcm63-363345.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/oakmount-triangle/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 9 of the appraisal document. ",,,,44001995
318_STH_CA8,"Old Town",,"","No documents available","3x Areas, Polygons on interactive map. No appraisal document",,,,44004329
318_STH_CA9,"Old Woolston and St Anne's Road",,"https://www.southampton.gov.uk/media/yyncgowi/woolston_conservation_area_appraisal_january_2010_tcm63-363376.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/woolston-st-annes-road/","5 Areas on one map, Polygons on interactive mapBest Map is shown on page 12 of the appraisal document. ",,,,44004335
318_STH_CA10,"Oxford Street",,"https://www.southampton.gov.uk/media/xngbo1og/oxford_street_conservation_area_appraisal_tcm63-363378.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/oxford-street/","Polygons on interactive mapBest Map is shown on page 41 of the appraisal document. ",,,,44004331
318_STH_CA11,"Portswood Residents' Gardens",,"https://www.southampton.gov.uk/media/4ian33xb/portswood_residents_garden_conservation_area_tcm63-363385.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/portswood-residents-gardens/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 3 of the appraisal document. ",,,,44004326
318_STH_CA12,"St James Road",,"https://www.southampton.gov.uk/media/dz4jcwix/st_james_road_character_appraisal_1996_tcm63-363387.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/st-james-road/","Polygons on interactive mapBest Map is shown on page 7 of the appraisal document. ",,,,44004325
318_STH_CA13,"The Avenue",,"https://www.southampton.gov.uk/media/xmzeou3y/the-avenue-conservation-area-appraisal-management-plan-2013_tcm63-363391.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/the-avenue/","Polygons on interactive mapExtra documents are available. ",,,,44005375
318_STH_CA14,"Uplands Estate",,"https://www.southampton.gov.uk/media/ejhnecbn/uplands_estate_designguidance_1993_tcm63-363402.pdf","https://www.southampton.gov.uk/planning/heritage/conservation-areas/uplands-estate/","Polygons on interactive mapExtra documents are available. Best Map is shown on page 8 of the appraisal document. ",,,,44004327
