reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_367_WGN_CA1_1,367_WGN_CA1,"Ashton-in-Makerfield","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/Ashton-Conservation-Area.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 16 of the appraisal document. ",,,,44000820
D_367_WGN_CA2_1,367_WGN_CA2,"Howe Bridge, Atherton","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/HoweBridgeConservationAreaAppraisalMarch2010.pdf",area-appraisal,"Best Map is shown on page 31 of the appraisal document. ",,,,44004799
D_367_WGN_CA3_1,367_WGN_CA3,"Market Place, Atherton","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/AthertonConsultationDraft984kb.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",,,,44000814
D_367_WGN_CA4_1,367_WGN_CA4,"Golborne, Park Road","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/ParkRoadCAAppraisal1270kb.pdf",area-appraisal,"Best Map is shown on page 18 of the appraisal document. ",,,,44004796
D_367_WGN_CA5_1,367_WGN_CA5,"Golborne town centre","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/GolborneTownCentreCAAppraisal1375kb.pdf",area-appraisal,"Best Map is shown on page 19 of the appraisal document. ",,,,44004795
D_367_WGN_CA6_1,367_WGN_CA6,"Haigh Village","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/HaighVillageConsultationDraft1397kb.pdf",area-appraisal,"Best Map is shown on page 22 of the appraisal document. ",,,,44000818
D_367_WGN_CA7_1,367_WGN_CA7,"Hindley town centre","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/Hindley-Conservation-Area.pdf",area-appraisal,"Best Map is shown on page 14 of the appraisal document. ",,,,44000816
D_367_WGN_CA8_1,367_WGN_CA8,"Bridgewater Canal, Leigh","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/Bridgewater-Canal.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",,,,44001008
D_367_WGN_CA9_1,367_WGN_CA9,"Leigh Bridge","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/Leigh-Bridge.pdf",area-appraisal,"Best Map is shown on page 4 of the appraisal document. ",,,,44000815
D_367_WGN_CA10_1,367_WGN_CA10,"Leigh town centre","https://www.wigan.gov.uk/Resident/Planning-and-Building-Control/Planning/Conservation-trees-and-hedges/Conservation-areas.aspx","https://www.wigan.gov.uk/Docs/PDF/Resident/Planning-and-Building-Control/Conservation-areas/Leigh-Town-Centre.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 3 of the appraisal document. ",,,,44000813
