reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_50_BNS_CA1_1,50_BNS_CA1,"Regent Street, Church Street and Market Hill","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","https://www.barnsley.gov.uk/media/aobn4rd5/barnsley-town-centre-caamp-13-june-2024.pdf",area-appraisal,"",local-authority:BNS,,,,44000391
D_50_BNS_CA1_2,50_BNS_CA1,"Regent Street, Church Street and Market Hill","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/24618/barnsley-regent-street-church-street-market-hill-caa.pdf,area-map,"",local-authority:BNS,,,,44000391
D_50_BNS_CA2_1,50_BNS_CA2,"Victoria Road","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","https://www.barnsley.gov.uk/media/17571/victoria-road-conservation-area-appraisal-final.pdf",area-appraisal,"",local-authority:BNS,,,,44000389
D_50_BNS_CA2_2,50_BNS_CA2,"Victoria Road","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/phlj41be/barnsley-victoria-road-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000389
D_50_BNS_CA3_1,50_BNS_CA3,"Huddersfield Road","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000390
D_50_BNS_CA3_2,50_BNS_CA3,"Huddersfield Road","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/s0udgzus/barnsley-huddersfield-road-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000390
D_50_BNS_CA4_1,50_BNS_CA4,"Billingley","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","https://www.barnsley.gov.uk/media/17573/billingley-appraisal.pdf",area-appraisal,"",local-authority:BNS,,,,44000393
D_50_BNS_CA4_2,50_BNS_CA4,"Billingley","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/qbpnv2yb/billingley-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000393
D_50_BNS_CA5_1,50_BNS_CA5,"Brierley","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000392
D_50_BNS_CA5_2,50_BNS_CA5,"Brierley","https://www.barnsley.gov.uk/services/conservation/conservation-areas/",https://www.barnsley.gov.uk/media/lykpfaiy/brierley-conservation-area.jpg,area-map,"",local-authority:BNS,,,,44000392
D_50_BNS_CA6_1,50_BNS_CA6,"Carlton","https://www.barnsley.gov.uk/services/conservation/conservation-areas/","No appraisal document",area-appraisal,"",local-authority:BNS,,,,44000404
