reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
124_ELI_CA1,"Alford",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001563
124_ELI_CA2,"Binbrook",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001193
124_ELI_CA3,"Burgh le Marsh",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001562
124_ELI_CA4,"Horncastle",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001186
124_ELI_CA5,"Hundleby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001190
124_ELI_CA6,"Louth",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001192
124_ELI_CA7,"North Thoresby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001191
124_ELI_CA8,"Raithby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001559
124_ELI_CA9,"Revesby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001185
124_ELI_CA10,"South Willingham",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001561
124_ELI_CA11,"Spilsby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001187
124_ELI_CA12,"Old Bolingbroke",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001189
124_ELI_CA13,"Tattershall",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001194
124_ELI_CA14,"Thimbleby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001560
124_ELI_CA15,"Wainfleet",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44005774
124_ELI_CA16,"Woodhall Spa",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001188
124_ELI_CA17,"Wragby",,"No appraisal document","https://www.e-lindsey.gov.uk/article/6142/Conservation-Areas",,,"",local-authority:ELI,,,,44001195
