reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_165_HER_CA1_1,165_HER_CA1,"Aldenham","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","No appraisal document",area-appraisal,"",local-authority:HER,,,,44007108
D_165_HER_CA1_2,165_HER_CA1,"Aldenham","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Aldenham-CA-Map.pdf,area-map,"",local-authority:HER,,,,44007108
D_165_HER_CA2_1,165_HER_CA2,"Bushey High Street and Melbourne Road","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-High-Street-Conservation-Area.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Bushey-High-Street-Conservation-Area-Appraisal-Report.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44007116
D_165_HER_CA2_2,165_HER_CA2,"Bushey High Street and Melbourne Road","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-High-Street-Conservation-Area.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Bushey-High-Street-Conservation-Area-Boundary-Map.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44007116
D_165_HER_CA3_1,165_HER_CA3,"Bushey Heath, High Road","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-Heath-High-Road-Conservation-Area.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/BHHR-CA-Appraisal-April-2013.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44007110
D_165_HER_CA3_2,165_HER_CA3,"Bushey Heath, High Road","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-Heath-High-Road-Conservation-Area.aspx",https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Bushey-Heath-High-Road-Conservation-Area.aspx,area-map,"Extra documents are available. ",local-authority:HER,,,,44007110
D_165_HER_CA4_1,165_HER_CA4,"Bushey Heath, The Lake","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","No appraisal document",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44007115
D_165_HER_CA4_2,165_HER_CA4,"Bushey Heath, The Lake","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/The-Lake-CA-Map.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44007115
D_165_HER_CA5_1,165_HER_CA5,"Elstree Village","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Elstree-Village-Conservation-Area.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Elstree-CA-appraisal-Nov-2014.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44006952
D_165_HER_CA5_2,165_HER_CA5,"Elstree Village","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Elstree-Village-Conservation-Area.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Enlarged-Elstree-Conservation-Area-Appraisal-Map.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44006952
D_165_HER_CA6_1,165_HER_CA6,"Letchmore Heath","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","No appraisal document",area-appraisal,"",local-authority:HER,,,,44007111
D_165_HER_CA6_2,165_HER_CA6,"Letchmore Heath","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Letchmore-Heath-CA-Map.pdf,area-map,"",local-authority:HER,,,,44007111
D_165_HER_CA7_1,165_HER_CA7,"Patchetts Green and Delrow","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","No appraisal document",area-appraisal,"",local-authority:HER,,,,44007114
D_165_HER_CA7_2,165_HER_CA7,"Patchetts Green and Delrow","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Patchetts-Green-CA-Map.pdf,area-map,"",local-authority:HER,,,,44007114
D_165_HER_CA8_1,165_HER_CA8,"Potters Bar, The Royds","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/The-Royds-CA.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Royds-Appraisal-2014.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44007113
D_165_HER_CA8_2,165_HER_CA8,"Potters Bar, The Royds","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/The-Royds-CA.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/The-Royds-CA-Map.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44007113
D_165_HER_CA9_1,165_HER_CA9,"Radlett (South)","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Radlett-South-Conservation-Area.aspx","No appraisal document",area-appraisal,"",local-authority:HER,,,,44006955
D_165_HER_CA9_2,165_HER_CA9,"Radlett (South)","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Radlett-South-Conservation-Area.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Radlett-South-CA-Map.pdf,area-map,"",local-authority:HER,,,,44006955
D_165_HER_CA10_1,165_HER_CA10,"Radlett (North)","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Radlett-(North)-Conservation-Area.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Radlett-North-Conservation-Area-Appraisal-Report-2010.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44006954
D_165_HER_CA10_2,165_HER_CA10,"Radlett (North)","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Radlett-(North)-Conservation-Area.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Radlett-North-Conservation-Area-post-Nov-2010.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44006954
D_165_HER_CA11_1,165_HER_CA11,"Ridge","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","No appraisal document",area-appraisal,"",local-authority:HER,,,,44006956
D_165_HER_CA11_2,165_HER_CA11,"Ridge","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Ridge-CA-Map.pdf,area-map,"",local-authority:HER,,,,44006956
D_165_HER_CA12_1,165_HER_CA12,"Roundbush","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","No appraisal document",area-appraisal,"",local-authority:HER,,,,44007109
D_165_HER_CA12_2,165_HER_CA12,"Roundbush","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Roundbush-CA-Map.pdf,area-map,"",local-authority:HER,,,,44007109
D_165_HER_CA13_1,165_HER_CA13,"Shenley","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Shenley-Conservation-Area.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Shenley-CA-Appraisal.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44006957
D_165_HER_CA13_2,165_HER_CA13,"Shenley","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/Shenley-Conservation-Area.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/Shenley-CA-Adopted-Map.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44006957
D_165_HER_CA14_1,165_HER_CA14,"South Mimms","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx","https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/South-Mimms-CAAMP-Draft.pdf",area-appraisal,"Extra documents are available. ",local-authority:HER,,,,44007112
D_165_HER_CA14_2,165_HER_CA14,"South Mimms","https://www.hertsmere.gov.uk/Planning--Building-Control/Building--Tree-Conservation/Conservation-areas/CAs-in-Hertsmere.aspx",https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Building--Tree-Conservation/Conservation-Areas/South-Mimms-CA-Map.pdf,area-map,"Extra documents are available. ",local-authority:HER,,,,44007112
