reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_166_HIG_CA1_1,166_HIG_CA1,"Brookbottom","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","No appraisal document",area-appraisal,"",local-authority:HIG,,,,44001379
D_166_HIG_CA1_2,166_HIG_CA1,"Brookbottom","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1806/Brookbottom--Conservation-Area-Map/pdf/BrookbottomCAmap.pdf?m=1486052394373,area-map,"",local-authority:HIG,,,,44001379
D_166_HIG_CA2_1,166_HIG_CA2,"Buxton Central","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/220/Buxton-area-character-appraisal-adopted-April-2007/pdf/HP_CAA.pdf?m=1484758451980",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001367
D_166_HIG_CA2_2,166_HIG_CA2,"Buxton Central","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1807/Buxton-Central-Conservation-Area-Map/pdf/BuxtonCentralCAmap.pdf?m=1486052456010,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001367
D_166_HIG_CA3_1,166_HIG_CA3,"Buxton College","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/220/Buxton-area-character-appraisal-adopted-April-2007/pdf/HP_CAA.pdf?m=1484758451980",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001368
D_166_HIG_CA3_2,166_HIG_CA3,"Buxton College","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1808/Buxton-College-Conservation-Area-Map/pdf/BuxtonCollegeCAmap.pdf?m=1486052509233,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001368
D_166_HIG_CA4_1,166_HIG_CA4,"Buxton - Fairfield","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/2707/Buxton-Fairfield-Character-Statement/pdf/08-01-01_CA_Summary_Fairfield.pdf?m=1511352453787",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001369
D_166_HIG_CA4_2,166_HIG_CA4,"Buxton - Fairfield","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1809/Buxton-Fairfield-Conservation-Area-Map/pdf/BuxtonFairfieldCAmap.pdf?m=1486052570617,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001369
D_166_HIG_CA5_1,166_HIG_CA5,"Buxton - Hardwick","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/220/Buxton-area-character-appraisal-adopted-April-2007/pdf/HP_CAA.pdf?m=1484758451980",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001366
D_166_HIG_CA5_2,166_HIG_CA5,"Buxton - Hardwick","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1810/Buxton-Hardwick-Conservation-Area-Map/pdf/BuxtonHardwickCAmap.pdf?m=1486052631470,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001366
D_166_HIG_CA6_1,166_HIG_CA6,"Buxton - The Park","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/220/Buxton-area-character-appraisal-adopted-April-2007/pdf/HP_CAA.pdf?m=1484758451980",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001365
D_166_HIG_CA6_2,166_HIG_CA6,"Buxton - The Park","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1811/Buxton-Park-Conservation-Area-Map/pdf/BuxtonTheParkCAmap.pdf?m=1486052701267,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001365
D_166_HIG_CA7_1,166_HIG_CA7,"Buxworth","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/2708/Buxworth-Character-Statement/pdf/08-01-01_CA_Summary_Bugsworth.pdf?m=1511352533340",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001380
D_166_HIG_CA7_2,166_HIG_CA7,"Buxworth","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1996/Buxworth-Conservation-Area-Map/pdf/BuxworthCAmap.pdf?m=1490873873893,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001380
D_166_HIG_CA8_1,166_HIG_CA8,"Chapel Milton","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/2709/Chapel-Milton-Character-Statement/pdf/08-01-01_CA_Summary_Chapel_Milton.pdf?m=1511352591943",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44005806
D_166_HIG_CA8_2,166_HIG_CA8,"Chapel Milton","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1997/Chapel-Milton-Conservation-Area-Map/pdf/ChapelMiltonCAmap.pdf?m=1490873925000,area-map,"Extra documents are available. ",local-authority:HIG,,,,44005806
D_166_HIG_CA9_1,166_HIG_CA9,"Chapel-en-le-Frith","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/222/Chapel-en-le-Frith-character-appraisal-adopted-July-2008/pdf/Chapel-en-le-Frith_Conservation_Area_Character_Appraisal_-_Adopted_July_2008.pdf?m=1484758485093",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44005807
D_166_HIG_CA9_2,166_HIG_CA9,"Chapel-en-le-Frith","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1998/Chapel-en-le-Frith-Conservation-Area-Map/pdf/ChapelCAmap.pdf?m=1490873978553,area-map,"Extra documents are available. ",local-authority:HIG,,,,44005807
D_166_HIG_CA10_1,166_HIG_CA10,"Chapel-en-le-Frith Town End","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","No appraisal document",area-appraisal,"",local-authority:HIG,,,,44005808
D_166_HIG_CA10_2,166_HIG_CA10,"Chapel-en-le-Frith Town End","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2021/Chapel-Town-End-Conservation-Area-Map/pdf/Chapel-en-le-Frith_Town_EndCA.pdf?m=1490881244187,area-map,"",local-authority:HIG,,,,44005808
D_166_HIG_CA11_1,166_HIG_CA11,"Charlesworth","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/223/Charlesworth-character-appraisal-adopted-October-2010/pdf/Charlesworth_Conservation_Area_Character_Appraisal_OCT_2010_reduced_file_size.pdf?m=1484758506520",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44003141
D_166_HIG_CA11_2,166_HIG_CA11,"Charlesworth","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/1999/Charlesworth-Conservation-Area-Map/pdf/Charlesworth_Cons_Area_Nov_2010.pdf?m=1490874173697,area-map,"Extra documents are available. ",local-authority:HIG,,,,44003141
D_166_HIG_CA12_1,166_HIG_CA12,"Chinley & Whitehough","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","No appraisal document",area-appraisal,"",local-authority:HIG,,,,44005809
D_166_HIG_CA12_2,166_HIG_CA12,"Chinley & Whitehough","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2000/Chinley--Whitehough-Conservation-Area-Map/pdf/ChinleyCAmap.pdf?m=1490874231783,area-map,"",local-authority:HIG,,,,44005809
D_166_HIG_CA13_1,166_HIG_CA13,"Combs","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/2710/Combs-Character-Statement/pdf/08-01-01_CA_Summary_Combs.pdf?m=1511352641673",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44005810
D_166_HIG_CA13_2,166_HIG_CA13,"Combs","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2001/Combs-Conservation-Area-Map/pdf/CombsCAmap.pdf?m=1490874271810,area-map,"Extra documents are available. ",local-authority:HIG,,,,44005810
D_166_HIG_CA14_1,166_HIG_CA14,"Glossop - Howard Park","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","No appraisal document",area-appraisal,"",local-authority:HIG,,,,44001371
D_166_HIG_CA14_2,166_HIG_CA14,"Glossop - Howard Park","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2002/Glossop-Howard-Park-Conservation-Area-Map/pdf/GlossopHowardParkCAmap.pdf?m=1490874320923,area-map,"",local-authority:HIG,,,,44001371
D_166_HIG_CA15_1,166_HIG_CA15,"Glossop - Howard Town","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/224/Glossop-character-appraisal-adopted-March-2006/pdf/Glossop_CA_SPD_March06.pdf?m=1484758534657",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001378
D_166_HIG_CA15_2,166_HIG_CA15,"Glossop - Howard Town","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2003/Glossop-Howard-Town-Conservation-Area-Map/pdf/GlossopHowardTownCAmap.pdf?m=1490874373157,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001378
D_166_HIG_CA16_1,166_HIG_CA16,"Glossop - Norfolk Square","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/224/Glossop-character-appraisal-adopted-March-2006/pdf/Glossop_CA_SPD_March06.pdf?m=1484758534657",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001377
D_166_HIG_CA16_2,166_HIG_CA16,"Glossop - Norfolk Square","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2004/Glossop-Norfolk-Square-Conservation-Area-Map/pdf/GlossopNorfolkSquareCAmap.pdf?m=1490874448803,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001377
D_166_HIG_CA17_1,166_HIG_CA17,"Glossop - Old Glossop","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/229/Old-Glossop-character-appraisal-adopted-March-2006/pdf/Old_Glossop_CA_SPD_March06.pdf?m=1484758743567",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001374
D_166_HIG_CA17_2,166_HIG_CA17,"Glossop - Old Glossop","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2005/Old-Glossop-Conservation-Area-Map/pdf/OldGlossopCAmap.pdf?m=1490874503217,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001374
D_166_HIG_CA18_1,166_HIG_CA18,"Glossop - St James","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps","https://www.highpeak.gov.uk/media/2711/St-James-Character-Statement/pdf/08-01-01_CA_Summary_St_James.pdf?m=1511352705110",area-appraisal,"Extra documents are available. ",local-authority:HIG,,,,44001372
D_166_HIG_CA18_2,166_HIG_CA18,"Glossop - St James","https://www.highpeak.gov.uk/article/2365/Conservation-area-maps",https://www.highpeak.gov.uk/media/2006/Glossop-St-James-Conservation-Area-Map/pdf/GlossopStJamesCAmap.pdf?m=1490874554960,area-map,"Extra documents are available. ",local-authority:HIG,,,,44001372
