reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_207_MAN_CA1_1,207_MAN_CA1,"Albert Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","https://www.manchester.gov.uk/info/511/conservation_areas/1210/albert_park_conservation_area",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004013
D_207_MAN_CA1_2,207_MAN_CA1,"Albert Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12603/albert_park_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004013
D_207_MAN_CA2_1,207_MAN_CA2,"Albert Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","https://www.manchester.gov.uk/info/511/conservation_areas/934/albert_square_conservation_area",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004014
D_207_MAN_CA2_2,207_MAN_CA2,"Albert Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12604/albert_square_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004014
D_207_MAN_CA3_1,207_MAN_CA3,"Ancoats Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","https://www.manchester.gov.uk/info/511/conservation_areas/1216/ancoats_conservation_area",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004015
D_207_MAN_CA3_2,207_MAN_CA3,"Ancoats Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12605/ancoats_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004015
D_207_MAN_CA4_1,207_MAN_CA4,"Ballbrook Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","https://www.manchester.gov.uk/info/511/conservation_areas/1228/ballbrook_conservation_area",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004016
D_207_MAN_CA4_2,207_MAN_CA4,"Ballbrook Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12606/ballbrook_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004016
D_207_MAN_CA5_1,207_MAN_CA5,"Blackburn Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","https://www.manchester.gov.uk/info/511/conservation_areas/1032/blackburn_park_conservation_area",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004017
D_207_MAN_CA5_2,207_MAN_CA5,"Blackburn Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12608/blackburn_park_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004017
D_207_MAN_CA6_1,207_MAN_CA6,"Brooklands Road Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004012
D_207_MAN_CA6_2,207_MAN_CA6,"Brooklands Road Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12607/brooklands_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004012
D_207_MAN_CA7_1,207_MAN_CA7,"Castlefield Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004018
D_207_MAN_CA7_2,207_MAN_CA7,"Castlefield Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12609/castlefield_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004018
D_207_MAN_CA8_1,207_MAN_CA8,"Chorlton Green Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004040
D_207_MAN_CA8_2,207_MAN_CA8,"Chorlton Green Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12612/chorlton_green_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004040
D_207_MAN_CA9_1,207_MAN_CA9,"Chorltonville Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004020
D_207_MAN_CA9_2,207_MAN_CA9,"Chorltonville Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12613/chorltonville_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004020
D_207_MAN_CA10_1,207_MAN_CA10,"Crab Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004008
D_207_MAN_CA10_2,207_MAN_CA10,"Crab Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12614/crab_lane_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004008
D_207_MAN_CA11_1,207_MAN_CA11,"Crumpsall Green conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004009
D_207_MAN_CA11_2,207_MAN_CA11,"Crumpsall Green conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12615/crumpsall_green_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004009
D_207_MAN_CA12_1,207_MAN_CA12,"Crumpsall Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004011
