reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
223_NEA_CA1,"Averham",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001454
223_NEA_CA2,"Balderton",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001446
223_NEA_CA3,"Barnby in the Willows",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001433
223_NEA_CA4,"Besthorpe",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-area-appraisals/Besthorpe-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001468
223_NEA_CA5,"Bilsthorpe",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001445
223_NEA_CA6,"Bleasby",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001427
223_NEA_CA7,"Blidworth",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001460
223_NEA_CA8,"Boughton",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001429
223_NEA_CA9,"Bulcote",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Bulcote-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001439
223_NEA_CA10,"Carlton on Trent",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001444
223_NEA_CA11,"Caunton",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001440
223_NEA_CA12,"Coddington",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44004681
223_NEA_CA13,"Collingham",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Collingham-CA-Appraisal-Full-Version.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001437
223_NEA_CA14,"Eakring",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Eakring-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001426
223_NEA_CA15,"East Stoke",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001430
223_NEA_CA16,"Edwinstowe",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/20191126EdwinstoweCAAppraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001432
223_NEA_CA17,"Egmanton",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Egmanton-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001436
223_NEA_CA18,"Elston",,"No appraisal document","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NEA,,,,44001457
223_NEA_CA19,"Epperstone",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-area-appraisals/Epperstone-CA-Appraisal-Text-Only.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Extra documents are available. ",local-authority:NEA,,,,44001443
