reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_400_Q5225646_CA1_1,400_Q5225646_CA1,"Ashburton","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0029/73379/1Ashburton-web-quality.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006099
D_400_Q5225646_CA1_2,400_Q5225646_CA1,"Ashburton","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Ashburton,area-map,"",national-park-authority:Q5225646,,,,44006099
D_400_Q5225646_CA2_1,400_Q5225646_CA2,"Buckfastleigh","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0022/73381/1Buckfastleigh-web-quality.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006100
D_400_Q5225646_CA2_2,400_Q5225646_CA2,"Buckfastleigh","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Buckfastleigh,area-map,"",national-park-authority:Q5225646,,,,44006100
D_400_Q5225646_CA3_1,400_Q5225646_CA3,"Chagford","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0026/78560/chagford-R6.compressed.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006101
D_400_Q5225646_CA3_2,400_Q5225646_CA3,"Chagford","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Chagford,area-map,"",national-park-authority:Q5225646,,,,44006101
D_400_Q5225646_CA4_1,400_Q5225646_CA4,"Crockernwell","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0024/73383/Crockernwell-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44002706
D_400_Q5225646_CA4_2,400_Q5225646_CA4,"Crockernwell","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Crockernwell,area-map,"",national-park-authority:Q5225646,,,,44002706
D_400_Q5225646_CA5_1,400_Q5225646_CA5,"Drewsteignton","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0037/78589/Drewsteignton-R6.compressed.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006102
D_400_Q5225646_CA5_2,400_Q5225646_CA5,"Drewsteignton","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Drewsteignton,area-map,"",national-park-authority:Q5225646,,,,44006102
D_400_Q5225646_CA6_1,400_Q5225646_CA6,"Dunsford","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0028/73459/Dunsford-Appr-2011-complete.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006103
D_400_Q5225646_CA6_2,400_Q5225646_CA6,"Dunsford","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Drewsteignton,area-map,"",national-park-authority:Q5225646,,,,44006103
D_400_Q5225646_CA7_1,400_Q5225646_CA7,"Horrabridge","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0020/73451/CAA-Horrabridge-complete.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006104
D_400_Q5225646_CA7_2,400_Q5225646_CA7,"Horrabridge","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Dunsford,area-map,"",national-park-authority:Q5225646,,,,44006104
D_400_Q5225646_CA8_1,400_Q5225646_CA8,"Ilsington","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0021/73407/ilsington-R6-2.compressed.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006105
D_400_Q5225646_CA8_2,400_Q5225646_CA8,"Ilsington","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Ilsington,area-map,"",national-park-authority:Q5225646,,,,44006105
D_400_Q5225646_CA9_1,400_Q5225646_CA9,"Lustleigh","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0022/73408/Lustleigh-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006106
D_400_Q5225646_CA9_2,400_Q5225646_CA9,"Lustleigh","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Lustleigh,area-map,"",national-park-authority:Q5225646,,,,44006106
D_400_Q5225646_CA10_1,400_Q5225646_CA10,"Lydford","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0015/73410/Lydford-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44002707
D_400_Q5225646_CA10_2,400_Q5225646_CA10,"Lydford","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Lydford,area-map,"",national-park-authority:Q5225646,,,,44002707
D_400_Q5225646_CA11_1,400_Q5225646_CA11,"Manaton","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0022/73417/manaton-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006107
D_400_Q5225646_CA11_2,400_Q5225646_CA11,"Manaton","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Manaton,area-map,"",national-park-authority:Q5225646,,,,44006107
D_400_Q5225646_CA12_1,400_Q5225646_CA12,"Mary Tavy","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0018/73422/Mary-Tavy-Appr-2011-compressed.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44002710
D_400_Q5225646_CA12_2,400_Q5225646_CA12,"Mary Tavy","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Mary%20Tavy,area-map,"",national-park-authority:Q5225646,,,,44002710
D_400_Q5225646_CA13_1,400_Q5225646_CA13,"Meavy","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0019/73432/Meavy-Appr-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44002709
D_400_Q5225646_CA13_2,400_Q5225646_CA13,"Meavy","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Meavy,area-map,"",national-park-authority:Q5225646,,,,44002709
D_400_Q5225646_CA14_1,400_Q5225646_CA14,"Moretonhampstead","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0034/78577/Moreton-R6-2.compressed.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006108
D_400_Q5225646_CA14_2,400_Q5225646_CA14,"Moretonhampstead","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Moretonhampstead,area-map,"",national-park-authority:Q5225646,,,,44006108
D_400_Q5225646_CA15_1,400_Q5225646_CA15,"Murchington","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0020/73433/Murchington-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006109
D_400_Q5225646_CA15_2,400_Q5225646_CA15,"Murchington","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=Murchington,area-map,"",national-park-authority:Q5225646,,,,44006109
D_400_Q5225646_CA16_1,400_Q5225646_CA16,"North Bovey","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0026/73439/north-bovey-complete-low-res.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44006110
D_400_Q5225646_CA16_2,400_Q5225646_CA16,"North Bovey","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=North%20Bovey,area-map,"",national-park-authority:Q5225646,,,,44006110
D_400_Q5225646_CA17_1,400_Q5225646_CA17,"North Brentor","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals","https://www.dartmoor.gov.uk/__data/assets/pdf_file/0019/73441/North-Brentor-2011.pdf",area-appraisal,"",national-park-authority:Q5225646,,,,44002708
D_400_Q5225646_CA17_2,400_Q5225646_CA17,"North Brentor","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",https://maps.dartmoor.gov.uk/con_areas/?conname=North%20Brentor,area-map,"",national-park-authority:Q5225646,,,,44002708
