reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
400_Q5225646_CA1,"Ashburton",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0029/73379/1Ashburton-web-quality.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006099
400_Q5225646_CA2,"Buckfastleigh",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0022/73381/1Buckfastleigh-web-quality.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006100
400_Q5225646_CA3,"Chagford",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0026/78560/chagford-R6.compressed.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006101
400_Q5225646_CA4,"Crockernwell",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0024/73383/Crockernwell-2011.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44002706
400_Q5225646_CA5,"Drewsteignton",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0037/78589/Drewsteignton-R6.compressed.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006102
400_Q5225646_CA6,"Dunsford",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0028/73459/Dunsford-Appr-2011-complete.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006103
400_Q5225646_CA7,"Horrabridge",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0020/73451/CAA-Horrabridge-complete.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006104
400_Q5225646_CA8,"Ilsington",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0021/73407/ilsington-R6-2.compressed.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006105
400_Q5225646_CA9,"Lustleigh",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0022/73408/Lustleigh-2011.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006106
400_Q5225646_CA10,"Lydford",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0015/73410/Lydford-2011.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44002707
400_Q5225646_CA11,"Manaton",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0022/73417/manaton-2011.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44006107
400_Q5225646_CA12,"Mary Tavy",,"https://www.dartmoor.gov.uk/__data/assets/pdf_file/0018/73422/Mary-Tavy-Appr-2011-compressed.pdf","https://www.dartmoor.gov.uk/living-and-working/planning/listed-buildings-and-conservation-areas/conservation-area-appraisals",,,"",national-park-authority:Q5225646,,,,44002710
