reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
299_SKP_CA1,"Houldsworth",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Houldsworth/Houldsworth+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/houldsworth-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 50 of the appraisal document. ",local-authority:SKP,,,,44004857
299_SKP_CA2,"Heaton Moor",,"https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Heaton+Moor/Heaton+Moor+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/heaton-moor-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004858
299_SKP_CA3,"Mauldeth Road",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Mauldeth+Road/Mauldeth+Road+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/mauldeth-road-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004859
299_SKP_CA4,"Heaton Mersey",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Heaton+Mersey/Heaton+Mersey+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/heaton-mersey-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 75 of the appraisal document. ",local-authority:SKP,,,,44004860
299_SKP_CA5,"Green Lane",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Green+Lane%2C+Heaton+Norris/Green+Lane+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/green-lane-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004856
299_SKP_CA6,"Dodge Hill",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Dodge+Hill/Dodge+Hill+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/dodge-hill-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 52 of the appraisal document. ",local-authority:SKP,,,,44004855
299_SKP_CA7,"Market/Underbanks",,"https://assets.ctfassets.net/ii3xdrqc6nfw/2o3mMfRHKhpuH4XtDssL6k/7158368d896af957fb912eb0e6530974/Market_Underbanks_Illustrated_Appraisal.pdf","https://www.stockport.gov.uk/documents/market-underbanks-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004854
299_SKP_CA8,"St Peters",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/St+Peters/St+Peters+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/st-peters-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004852
299_SKP_CA9,"Hillgate",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Hillgate/Hillgate+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/hillgate-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004853
299_SKP_CA10,"Town Hall",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Town+Hall/Town+Hall+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/town-hall-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004851
299_SKP_CA11,"Alexandra Park, Edgeley",,"https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Alexandra+Park/Alexandra+Park+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/alexandra-park-edgeley-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 47 of the appraisal document. ",local-authority:SKP,,,,44004850
299_SKP_CA12,"St Georges, Heaviley",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/St+Georges%2C+Heaviley/St+Georges+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/st-georges-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 70 of the appraisal document. ",local-authority:SKP,,,,44004849
299_SKP_CA13,"Cale Green",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Cale+Green/Cale+Green+Illustrated+Conservation+Area+Appraisal.pdf","https://www.stockport.gov.uk/documents/cale-green-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 59 of the appraisal document. ",local-authority:SKP,,,,44004848
299_SKP_CA14,"Davenport Park",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Davenport+Park/Davenport+Park+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/davenport-park-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 49 of the appraisal document. ",local-authority:SKP,,,,44004847
299_SKP_CA15,"Egerton Road/Frewland Avenue, Davenport",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Egerton+Road+and+Frewland+Avenue%2C+Davenport/Egerton+Road+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/egerton-road-frewland-ave-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 32 of the appraisal document. ",local-authority:SKP,,,,44004846
299_SKP_CA16,"Bramhall Lane South",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Bramhall+Lane+South/Bramhall+Lane+South+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/bramhall-lane-south-ca",,,"Polygon on interactive map, 3 separate areasExtra documents are available. Best Map is shown on page 48 of the appraisal document. ",local-authority:SKP,,,,44004844
299_SKP_CA17,"Bramall Park",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Bramhall+Park+/Bramhall+Park+Text+Only+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/bramhall-park-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004845
299_SKP_CA18,"Swann Lane/Hulme Hall Road/Hill Top Avenue",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Swann+Lane%2C+Hulme+Hall+Road+and+Hill+Top+Avenue/Swann+Lane+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/swann-lane-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 37 of the appraisal document. ",local-authority:SKP,,,,44004842
299_SKP_CA19,"Syddal Park, Bramhall",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Syddal+Park%2C+Bramhall/Syddal+Park+Illustrated+Conservation+Area+Charaacter+Appraisal.pdf","https://www.stockport.gov.uk/documents/syddal-park-bramhall-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 30 of the appraisal document. ",local-authority:SKP,,,,44004843
299_SKP_CA20,"Cheadle Royal",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Cheadle+Royal/Cheadle+Royal+Illustrated+Conservation+Area+Character+Appraisal.pdf","https://www.stockport.gov.uk/documents/Cheadle-royal-ca",,,"Polygon on interactive mapExtra documents are available. Best Map is shown on page 34 of the appraisal document. ",local-authority:SKP,,,,44004841
299_SKP_CA21,"Brooklyn Crescent, Cheadle",,"https://live-iag-static-assets.s3-eu-west-1.amazonaws.com/pdf/Stockport+Historic+Environment+Database/Brooklyn+Crescent%2C+Cheadle/Brooklyn_Crescent_Character_Appraisal_-Illustrated.pdf","https://www.stockport.gov.uk/documents/Brooklyn-crescent-cheadle-ca",,,"Polygon on interactive mapExtra documents are available. ",local-authority:SKP,,,,44004840
