reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
346_TOR_CA1,"Appledore",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005739
346_TOR_CA2,"Ashreigney",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005726
346_TOR_CA3,"Beaford",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005727
346_TOR_CA4,"Bideford",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005734
346_TOR_CA5,"Bideford Clovelly Road",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005733
346_TOR_CA6,"Bideford East",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005735
346_TOR_CA7,"Bradworthy",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005720
346_TOR_CA8,"Buckland Brewer",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005721
346_TOR_CA9,"Bucks Mills",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005728
346_TOR_CA10,"Clovelly",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005729
346_TOR_CA11,"Dolton",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005722
346_TOR_CA12,"Great Torrington",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005736
346_TOR_CA13,"Hartland",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005723
346_TOR_CA14,"High Bickington",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005724
346_TOR_CA15,"Holsworthy",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005738
346_TOR_CA16,"Kingscott",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005730
346_TOR_CA17,"Merton",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005731
346_TOR_CA18,"Northam",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005737
346_TOR_CA19,"Sheepwash",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005732
346_TOR_CA20,"Winkleigh",,"No appraisal document","https://www.torridge.gov.uk/article/11092/Conservation-Areas",,,"",local-authority:TOR,,,,44005725
