reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
54_BPC_CA1,"Ashington, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/ashington-conservation-appraisal.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007311
54_BPC_CA2,"Ashley Cross, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/120611-Ashley-Cross-CAMP-ADOPTED.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007347
54_BPC_CA3,"Avon Buildings, Christchurch",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007359
54_BPC_CA4,"Boscombe Manor, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007364
54_BPC_CA5,"Boscombe Spa, Bournemouth",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007365
54_BPC_CA6,"Bramble Lane, Christchurch",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007353
54_BPC_CA7,"Branksome Park and Chine Gardens, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/Branksome-Park-CA.MPPrint-Version9.08.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007348
54_BPC_CA8,"Brunstead Road, Poole",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007315
54_BPC_CA9,"Burton, Christchurch",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/burton-conservation-area-appraisal-management-plan-adopted-feb-2007.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007376
54_BPC_CA10,"Canford Cliffs Village, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/Canford-Cliffs-Penn-Hill-Areas-Boundary-Review-2014-1.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007349
54_BPC_CA11,"Canford Magna, Poole",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007314
54_BPC_CA12,"Chester Road, Poole",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/chester-rd-12.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007103
54_BPC_CA13,"Christchurch Central",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/christchurch-central-town-centre-conservation-area-appraisal-management-plan-adopted-sept-2005.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007357
54_BPC_CA14,"Christchurch Hospital",,"No appraisal document","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"",,,,44007355
54_BPC_CA15,"Churchill Gardens, Bournemouth",,"https://www.bcpcouncil.gov.uk/documents/planning-and-building-control/Churchill-Gardens-Conservation-Area-Appraisal.pdf","https://www.bcpcouncil.gov.uk/planning-and-building-control/urban-design-trees-and-conservation/conservation-areas",,,"Extra documents are available. ",,,,44007366
