reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_102_DAL_CA1_1,102_DAL_CA1,"Bishopton","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1927/bpca_appraisal.pdf",area-appraisal,"",,,,44000106
D_102_DAL_CA1_2,102_DAL_CA1,"Bishopton","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1951/bishopton-web-map.pdf,area-map,"",,,,44000106
D_102_DAL_CA2_1,102_DAL_CA2,"Coatham Mundeville","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1925/cmca_appraisal.pdf",area-appraisal,"",,,,44000114
D_102_DAL_CA2_2,102_DAL_CA2,"Coatham Mundeville","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1952/coatham-mundeville-web-map.pdf,area-map,"",,,,44000114
D_102_DAL_CA3_1,102_DAL_CA3,"Cockerton","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1930/coca_appraisal.pdf",area-appraisal,"",,,,44000113
D_102_DAL_CA3_2,102_DAL_CA3,"Cockerton","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1953/cockerton-web-map.pdf,area-map,"",,,,44000113
D_102_DAL_CA4_1,102_DAL_CA4,"Denton","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1926/dtca_appraisal.pdf",area-appraisal,"",,,,44000107
D_102_DAL_CA4_2,102_DAL_CA4,"Denton","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1954/denton-web-map.pdf,area-map,"",,,,44000107
D_102_DAL_CA5_1,102_DAL_CA5,"Haughton-le-Skerne","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1932/haughton-le-skerne-conservation-area-character-appraisal-and-management-plan.pdf",area-appraisal,"",,,,44006807
D_102_DAL_CA5_2,102_DAL_CA5,"Haughton-le-Skerne","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1955/haughton-web-map.pdf,area-map,"",,,,44006807
D_102_DAL_CA6_1,102_DAL_CA6,"Heighington","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/8570/heighington-caca-march-2019.pdf",area-appraisal,"",,,,44006808
D_102_DAL_CA6_2,102_DAL_CA6,"Heighington","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1956/heighington-web-map.pdf,area-map,"",,,,44006808
D_102_DAL_CA7_1,102_DAL_CA7,"High Coniscliffe","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","No appraisal document",area-appraisal,"",,,,44000108
D_102_DAL_CA7_2,102_DAL_CA7,"High Coniscliffe","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1957/high-coniscliffe-web-map.pdf,area-map,"",,,,44000108
D_102_DAL_CA8_1,102_DAL_CA8,"Hurworth","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","No appraisal document",area-appraisal,"",,,,44000116
D_102_DAL_CA8_2,102_DAL_CA8,"Hurworth","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1958/hurworth-web-map.pdf,area-map,"",,,,44000116
D_102_DAL_CA9_1,102_DAL_CA9,"Middleton One Row","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1919/middleton_one_row_character_appraisal.pdf",area-appraisal,"",,,,44000115
D_102_DAL_CA9_2,102_DAL_CA9,"Middleton One Row","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1959/middleton-web-map.pdf,area-map,"",,,,44000115
D_102_DAL_CA10_1,102_DAL_CA10,"Northgate","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1928/ngca_appraisal.pdf",area-appraisal,"",,,,44000111
D_102_DAL_CA10_2,102_DAL_CA10,"Northgate","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1960/northgate-conservation-area-map.pdf,area-map,"",,,,44000111
D_102_DAL_CA11_1,102_DAL_CA11,"Parkgate","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/16575/parkgate-conservation-area-character-appraisal.pdf",area-appraisal,"",,,,44006809
D_102_DAL_CA11_2,102_DAL_CA11,"Parkgate","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1971/parkgate-web-map.pdf,area-map,"",,,,44006809
D_102_DAL_CA12_1,102_DAL_CA12,"Piercebridge","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1931/pbca_appraisal.pdf",area-appraisal,"",,,,44000109
D_102_DAL_CA12_2,102_DAL_CA12,"Piercebridge","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1961/piercebridge-web-map.pdf,area-map,"",,,,44000109
D_102_DAL_CA13_1,102_DAL_CA13,"Sadberge","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","No appraisal document",area-appraisal,"",,,,44006810
D_102_DAL_CA13_2,102_DAL_CA13,"Sadberge","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1962/sadberge-web-map.pdf,area-map,"",,,,44006810
D_102_DAL_CA14_1,102_DAL_CA14,"Summerhouse","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","No appraisal document",area-appraisal,"",,,,44000110
D_102_DAL_CA14_2,102_DAL_CA14,"Summerhouse","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1963/summerhouse-web-map.pdf,area-map,"",,,,44000110
D_102_DAL_CA15_1,102_DAL_CA15,"Town Centre","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1920/tcca_appraisal.pdf",area-appraisal,"",,,,44004804
D_102_DAL_CA15_2,102_DAL_CA15,"Town Centre","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1964/town-centre-web-map.pdf,area-map,"",,,,44004804
D_102_DAL_CA16_1,102_DAL_CA16,"Victoria Embankment","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1929/veca_appraisal.pdf",area-appraisal,"",,,,44000112
D_102_DAL_CA16_2,102_DAL_CA16,"Victoria Embankment","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1965/victoria-embankment-web-map.pdf,area-map,"",,,,44000112
D_102_DAL_CA17_1,102_DAL_CA17,"West End","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/","https://www.darlington.gov.uk/media/1922/weca_appraisal.pdf",area-appraisal,"",,,,44004803
D_102_DAL_CA17_2,102_DAL_CA17,"West End","https://www.darlington.gov.uk/environment-and-planning/planning/conservation-historical-environment/conservation-areas/",https://www.darlington.gov.uk/media/1966/west-end-web-map.pdf,area-map,"",,,,44004803
