reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
199_LIC_CA1,"Cathedral and City Centre",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009265
199_LIC_CA2,"St Peter-at-Gowts",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009266
199_LIC_CA3,"Lindum and Arboretum",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009267
199_LIC_CA4,"St Catherines",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009268
199_LIC_CA5,"Gowts Bridge",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009275
199_LIC_CA6,"West Parade and Brayford",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009269
199_LIC_CA7,"Sibthorp",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009270
199_LIC_CA8,"Carline",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009271
199_LIC_CA9,"Newport and Nettleham Road",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009272
199_LIC_CA10,"The Dell",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009273
199_LIC_CA11,"Swanpool",,"No appraisal document","https://www.lincoln.gov.uk/downloads/download/88/conservation-archaeology-and-heritage-downloads",,,"",,,,44009274
