reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_ARU_29_CA_1_1,ARU_29_CA_1,"Aldingbourne Church Road","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44002080.0
D_ARU_29_CA_2_1,ARU_29_CA_2,"Aldwick","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44002138.0
D_ARU_29_CA_3_1,ARU_29_CA_3,"Angmering","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44001981.0
D_ARU_29_CA_4_1,ARU_29_CA_4,"Arundel","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,ARU_29_CA_4_New
D_ARU_29_CA_5_1,ARU_29_CA_5,"Barnham (Church Lane)","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44002313.0
D_ARU_29_CA_6_1,ARU_29_CA_6,"Bognor Regis (Aldwick Road)","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44002008.0
D_ARU_29_CA_7_1,ARU_29_CA_7,"Bognor Regis (Railway Station)","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44001794.0
D_ARU_29_CA_8_1,ARU_29_CA_8,"Bognor Regis (The Steyne and Waterloo Square)","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44001905.0
D_ARU_29_CA_9_1,ARU_29_CA_9,"Bognor Regis (Upper Bognor Road and Mead Lane)","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,44001812.0
D_ARU_29_CA_10_1,ARU_29_CA_10,"Burpham and Wepham","https://www.arun.gov.uk/conservation-areas#details","https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n1722.pdf&ver=1371",area-appraisal,,,,,ARU_29_CA_10_New
