reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_BRC_57_CA_1_1,BRC_57_CA_1,"Easthampstead","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest","https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/easthampstead-conservation-area-appraisal-pt1.pdf",area-appraisal,,,1996-11-07,,44002286.0
D_BRC_57_CA_1_2,BRC_57_CA_1,"Easthampstead","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest",https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/os-map-easthampstead-conservation-area.pdf,area-map,,,1996-11-07,,44002286.0
D_BRC_57_CA_2_1,BRC_57_CA_2,"Warfield","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest","https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/warfield-conservation-area-appraisal-pt1.pdf",area-appraisal,,,1974-11-21,,44001838.0
D_BRC_57_CA_2_2,BRC_57_CA_2,"Warfield","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest",https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/os-map-warfield-conservation-area.pdf,area-map,,,1974-11-21,,44001838.0
D_BRC_57_CA_3_1,BRC_57_CA_3,"Winkfield Row","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest","https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/winkfield-row-conservation-area-appraisal-pt1.pdf",area-appraisal,,,,,44001998.0
D_BRC_57_CA_3_2,BRC_57_CA_3,"Winkfield Row","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest",https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/os-map-winkfield-row-conservation-area.pdf,area-map,,,,,44001998.0
D_BRC_57_CA_4_1,BRC_57_CA_4,"Winkfield Village","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest","https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/winkfield-village-appraisal.pdf",area-appraisal,,,1977-05-12,,44001799.0
D_BRC_57_CA_4_2,BRC_57_CA_4,"Winkfield Village","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest",https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/winkfield-village-conservation-area.pdf,area-map,,,1977-05-12,,44001799.0
D_BRC_57_CA_5_1,BRC_57_CA_5,"Binfield ","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest","https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/binfield-conservation-area-appraisal.pdf",area-appraisal,,,,,BRC_57_CA_5_New
D_BRC_57_CA_5_2,BRC_57_CA_5,"Binfield ","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest",https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/binfield-conservation-area-map.pdf,area-map,,,,,BRC_57_CA_5_New
D_BRC_57_CA_6_1,BRC_57_CA_6,"Crowthorne ","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest","https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/crowthorne-conservation-area-appraisal.pdf",area-appraisal,,,,,BRC_57_CA_6_New
D_BRC_57_CA_6_2,BRC_57_CA_6,"Crowthorne ","https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/conservation-areas/conservation-areas-bracknell-forest",https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/crowthorne-conservation-area-figure-3-map.pdf,area-map,,,,,BRC_57_CA_6_New
