reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_CLD_88_CA_1_1,CLD_88_CA_1,"Akroydon","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/Akroydon-conservation-area.pdf",area-appraisal,,,1976-12-15,,44003010.0
D_CLD_88_CA_2_1,CLD_88_CA_2,"Copley","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/Copley-conservation-area.pdf",area-appraisal,,,1983-10-18,,44007919.0
D_CLD_88_CA_3_1,CLD_88_CA_3,"Elland","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/elland-conservation-area.pdf",area-appraisal,,,1992-02-25,,44007924.0
D_CLD_88_CA_4_1,CLD_88_CA_4,"Halifax Town Centre","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/halifax-town-conservation-area.pdf",area-appraisal,,,1974-10-23,,44003008.0
D_CLD_88_CA_5_1,CLD_88_CA_5,"Hebden Bridge","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/hebden-bridge-conservation-area.pdf",area-appraisal,,,1973-07-27,,44007920.0
D_CLD_88_CA_6_1,CLD_88_CA_6,"Heptonstall","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/heptonstall-conservation-area.pdf",area-appraisal,,,1971-01-07,,44007922.0
D_CLD_88_CA_7_1,CLD_88_CA_7,"Huddersfield Road East, Halifax","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/Huddersfield-Road-East-conservation-area.pdf",area-appraisal,,,2005-10-24,,44003020.0
D_CLD_88_CA_8_1,CLD_88_CA_8,"Luddenden","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/luddenden-conservation-area.pdf",area-appraisal,,,1973-02-26,,44003014.0
D_CLD_88_CA_9_1,CLD_88_CA_9,"Lumbutts and Mankinholes","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/lumbutts-mankinholes-conservation-area.pdf",area-appraisal,,,1980-12-03,,44007921.0
D_CLD_88_CA_10_1,CLD_88_CA_10,"Mill Bank and Cottonstones","https://new.calderdale.gov.uk/planning-and-building-control/conservation","https://new.calderdale.gov.uk/sites/default/files/2023-06/mill-bank-cottonstones-conservation-area.pdf",area-appraisal,,,1976-06-23,,44003018.0
