reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
ELM_125_CA_1,"Brooklands",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Brooklands%20Conservation%20Management%20Plan.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Management Plan  Best Map is shown on page 37 of the appraisal document. ",,2017-11-21,,44001307.0
ELM_125_CA_2,"Claygate, Foley Estate",,"","","No Appraisal document.  ",,1994-11-23,,44001312.0
ELM_125_CA_3,"Claygate Village",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Claygate%20village%20conservation%20area%20character%20appraisal.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Character Appraisal  Extra documents are available. ",,1990-11-28,,44001308.0
ELM_125_CA_4,"Cobham",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Cobham%20conservation%20area%20management%20plan.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Management Plan  Extra documents are available. ",,1973-07-31,,44001299.0
ELM_125_CA_5,"Cobham (Plough Corner)",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Cobham%20Plough%20Corner%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,1990-11-28,,44001309.0
ELM_125_CA_6,"The Tilt",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/The%20Tilt%20Cobham%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement  Extra documents are available. ",,2015-03-10,,44001303.0
ELM_125_CA_7,"Downside Village",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Cobham%20Downside%20Village%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,2014-03-25,,44001304.0
ELM_125_CA_8,"East Molesey (Bridge Road)",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Bridge%20Road%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,1989-08-30,,44001314.0
ELM_125_CA_9,"Kent Town",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/East%20Molesey%20Kent%20Town%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,2011-11-15,,44001313.0
ELM_125_CA_10,"East Molesey (Old Village)",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Old%20Village%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,1975-10-20,,44001317.0
ELM_125_CA_11,"Esher",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Esher%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement  Extra documents are available. ",,2008-02-27,,44001318.0
ELM_125_CA_12,"Giggs Hill Green",,"https://www.elmbridge.gov.uk/sites/default/files/2023-06/Giggs%20Hill%20Green%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement  Extra documents are available. ",,2009-10-07,,44004318.0
ELM_125_CA_13,"Hersham Village",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Hersham%20Village%20conservation%20area%20map.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,1989-08-30,,44001306.0
ELM_125_CA_14,"Long Ditton",,"","https://www.elmbridge.gov.uk/planning/conservation-areas","No Appraisal document.  ",,1994-11-23,,44001311.0
ELM_125_CA_15,"Stoke d'Abernon",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Stoke%20dAbernon%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,,,44001305.0
ELM_125_CA_16,"Thames Ditton",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Thames%20Ditton%20conservation%20area%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,2009-10-07,,44004317.0
ELM_125_CA_17,"Walton: Church Street/Bridge Street",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Walton%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement ",,2013-04-10,,44001316.0
ELM_125_CA_18,"Walton: Riverside",,"https://www.elmbridge.gov.uk/sites/default/files/2023-04/Walton%20riverside%20designation%20statement.pdf","https://www.elmbridge.gov.uk/planning/conservation-areas","Designation Statement  Extra documents are available. ",,2013-04-10,,44001315.0
