reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
HAE_154_CA_1,"Ainderby Steeple",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1975-12-18,,44000512.0
HAE_154_CA_2,"Aldwark",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1991-07-23,,44000496.0
HAE_154_CA_3,"Alne",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1985-02-23,,44000358.0
HAE_154_CA_4,"Bedale",,"https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/Bedale_conservation_area_appraisal.compressed.pdf","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/conservation-areas"," ",,1988-02-23,,44004778.0
HAE_154_CA_5,"Borrowby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1978-12-20,,44000363.0
HAE_154_CA_6,"Brafferton and Helperby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1985-04-30,,44000498.0
HAE_154_CA_7,"Brompton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1987-10-20,,44000352.0
HAE_154_CA_8,"Burneston",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-08,,44000360.0
HAE_154_CA_9,"Carlton Husthwaite",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1988-04-19,,44000369.0
HAE_154_CA_10,"Crakehall",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1976-10-20,,44000361.0
HAE_154_CA_11,"Crathorne",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1990-10-23,,44000373.0
HAE_154_CA_12,"Crayke",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1976-10-20,,44000506.0
HAE_154_CA_13,"Easingwold",,"https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/Easingwold_conservation_area_appraisal_min.pdf","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/conservation-areas"," ",,1990-10-23,,44004775.0
HAE_154_CA_14,"Felixkirk",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1991-05-21,,44000366.0
HAE_154_CA_15,"Great Ayton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1988-02-23,,44000499.0
HAE_154_CA_16,"Great Broughton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1990-10-23,,44000362.0
HAE_154_CA_17,"Great Smeaton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1990-02-27,,44000497.0
HAE_154_CA_18,"Hornby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-03,,44000504.0
HAE_154_CA_19,"Husthwaite",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1987-04-21,,44000367.0
