reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_HAO_158_CA_1_1,HAO_158_CA_1,"Allexton","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district","",area-appraisal,,,2007-07-16,,44009277.0
D_HAO_158_CA_1_2,HAO_158_CA_1,"Allexton","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",https://www.harborough.gov.uk/download/downloads/id/1610/allexton_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009277.0
D_HAO_158_CA_2_1,HAO_158_CA_2,"Arnesby","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district","",area-appraisal,,,2007-07-16,,44005162.0
D_HAO_158_CA_2_2,HAO_158_CA_2,"Arnesby","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",https://www.harborough.gov.uk/download/downloads/id/1611/arnesby_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44005162.0
D_HAO_158_CA_3_1,HAO_158_CA_3,"Ashby Parva","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district","",area-appraisal,,,2007-07-16,,44005153.0
D_HAO_158_CA_3_2,HAO_158_CA_3,"Ashby Parva","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",https://www.harborough.gov.uk/download/downloads/id/1612/ashby_parva_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44005153.0
D_HAO_158_CA_4_1,HAO_158_CA_4,"Billesdon","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district","",area-appraisal,,,2005-03-09,,44005151.0
D_HAO_158_CA_4_2,HAO_158_CA_4,"Billesdon","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",https://www.harborough.gov.uk/download/downloads/id/1613/billesdon_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44005151.0
D_HAO_158_CA_5_1,HAO_158_CA_5,"Bitteswell","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district","",area-appraisal,,,2005-03-09,,44005161.0
D_HAO_158_CA_5_2,HAO_158_CA_5,"Bitteswell","https://www.harborough.gov.uk/directory/20/conservation_areas_in_harborough_district",https://www.harborough.gov.uk/download/downloads/id/1614/bitteswell_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44005161.0
D_HAO_158_CA_6_1,HAO_158_CA_6,"Blaston","","",area-appraisal,,,2006-07-10,,44005159.0
D_HAO_158_CA_6_2,HAO_158_CA_6,"Blaston","",https://www.harborough.gov.uk/download/downloads/id/1615/blaston_conservation_area_mappdf.pdf,area-map,,,2006-07-10,,44005159.0
D_HAO_158_CA_7_1,HAO_158_CA_7,"Bringhurst","","",area-appraisal,,,2005-03-09,,44004019.0
D_HAO_158_CA_7_2,HAO_158_CA_7,"Bringhurst","",https://www.harborough.gov.uk/download/downloads/id/1616/bringhurst_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44004019.0
D_HAO_158_CA_8_1,HAO_158_CA_8,"Bruntingthorpe","","",area-appraisal,,,2005-03-09,,44005156.0
D_HAO_158_CA_8_2,HAO_158_CA_8,"Bruntingthorpe","",https://www.harborough.gov.uk/download/downloads/id/1617/bruntingthorpe_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44005156.0
D_HAO_158_CA_9_1,HAO_158_CA_9,"Burton Overy","","",area-appraisal,,,2005-03-09,,44005154.0
D_HAO_158_CA_9_2,HAO_158_CA_9,"Burton Overy","",https://www.harborough.gov.uk/download/downloads/id/1618/burton_overy_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44005154.0
D_HAO_158_CA_10_1,HAO_158_CA_10,"Carlton Curlieu","","",area-appraisal,,,2007-07-16,,44005160.0
D_HAO_158_CA_10_2,HAO_158_CA_10,"Carlton Curlieu","",https://www.harborough.gov.uk/download/downloads/id/1619/carlton_curlieu_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44005160.0
D_HAO_158_CA_11_1,HAO_158_CA_11,"Catthorpe","","",area-appraisal,,,2006-07-10,,44008710.0
D_HAO_158_CA_11_2,HAO_158_CA_11,"Catthorpe","",https://www.harborough.gov.uk/download/downloads/id/1620/catthorpe_conservation_area_mappdf.pdf,area-map,,,2006-07-10,,44008710.0
D_HAO_158_CA_12_1,HAO_158_CA_12,"Church Langton","","",area-appraisal,,,2007-07-16,,44005150.0
D_HAO_158_CA_12_2,HAO_158_CA_12,"Church Langton","",https://www.harborough.gov.uk/download/downloads/id/1621/church_langton_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44005150.0
D_HAO_158_CA_13_1,HAO_158_CA_13,"Claybrooke Parva","","",area-appraisal,,,2007-07-16,,44008711.0
D_HAO_158_CA_13_2,HAO_158_CA_13,"Claybrooke Parva","",https://www.harborough.gov.uk/download/downloads/id/1622/claybrook_parva_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44008711.0
D_HAO_158_CA_14_1,HAO_158_CA_14,"Drayton","","",area-appraisal,,,2006-07-10,,44005158.0
D_HAO_158_CA_14_2,HAO_158_CA_14,"Drayton","",https://www.harborough.gov.uk/download/downloads/id/1623/drayton_conservation_area_mappdf.pdf,area-map,,,2006-07-10,,44005158.0
D_HAO_158_CA_15_1,HAO_158_CA_15,"East Langton","","",area-appraisal,,,2005-03-09,,44009344.0
D_HAO_158_CA_15_2,HAO_158_CA_15,"East Langton","",https://www.harborough.gov.uk/download/downloads/id/1624/east_langton_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44009344.0
D_HAO_158_CA_16_1,HAO_158_CA_16,"East Norton","","",area-appraisal,,,2007-07-16,,44009345.0
D_HAO_158_CA_16_2,HAO_158_CA_16,"East Norton","",https://www.harborough.gov.uk/download/downloads/id/1625/east_norton_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009345.0
D_HAO_158_CA_17_1,HAO_158_CA_17,"Foxton","","",area-appraisal,,,2006-07-10,,44009346.0
D_HAO_158_CA_17_2,HAO_158_CA_17,"Foxton","",https://www.harborough.gov.uk/download/downloads/id/1626/foxton_conservation_area_mappdf.pdf,area-map,,,2006-07-10,,44009346.0
D_HAO_158_CA_18_1,HAO_158_CA_18,"Gaulby","https://www.harborough.gov.uk/directory/20/a_to_z/G","",area-appraisal,,,2007-07-16,,44009347.0
