reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
MSS_218_CA_1,"Albourne",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44002077.0
MSS_218_CA_2,"Ardingly",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1990-01-01,,44002098.0
MSS_218_CA_3,"Balcombe",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1990-01-01,,44001813.0
MSS_218_CA_4,"Birchgrove ",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1990-01-01,,44001842.0
MSS_218_CA_5,"Bolney",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44002223.0
MSS_218_CA_6,"Clayton ",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1999-01-01,,MSS_218_CA_6_New
MSS_218_CA_7,"Cuckfield",,"https://www.midsussex.gov.uk/media/2259/cuckfield-conservation-area-appraisal-final.pdf","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44006882.0
MSS_218_CA_8,"East Grinstead",,"https://www.midsussex.gov.uk/media/4539/east-grinstead-conservation-area-appraisal.pdf","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44002229.0
MSS_218_CA_9,"Estcots & East Court College Lane",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,2003-01-01,,44001818.0
MSS_218_CA_10,"Fairfield",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44002020.0
MSS_218_CA_11,"Franklands Village",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44001860.0
MSS_218_CA_12,"Handcross",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1990-01-01,,44002280.0
MSS_218_CA_13,"Highbrook",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1990-01-01,,44001830.0
MSS_218_CA_14,"Horsted Keynes",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1984-01-01,,44002111.0
MSS_218_CA_15,"Hurst Wickham",,"https://www.midsussex.gov.uk/media/3669/hurst-wickham-conservation-area-changes.pdf","https://www.midsussex.gov.uk/planning-building/conservation-areas/","Grouped together with Hurstpierpoint and Langton Lane ",,1984-01-01,,44006883.0
MSS_218_CA_16,"Hurstpierpoint",,"https://www.midsussex.gov.uk/media/2874/hurstpierpoint-conservation-area-appraisal.pdf","https://www.midsussex.gov.uk/planning-building/conservation-areas/","Grouped together with Hurst Wickham abd Langton Lane ",,1999-01-01,,44006884.0
MSS_218_CA_17,"Keymer",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44001976.0
MSS_218_CA_18,"Langton Lane",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/","Grouped together with Hurst Wickham and Hurstpierpoint ",,1999-01-01,,44002294.0
MSS_218_CA_19,"Lewes Road",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44002128.0
MSS_218_CA_20,"Lindfield",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1969-01-01,,44001927.0
MSS_218_CA_21,"Lucastes",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,44002148.0
MSS_218_CA_22,"Mill Hill Close",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1999-01-01,,44002185.0
MSS_218_CA_23,"Muster Green",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1979-01-01,,44002202.0
MSS_218_CA_24,"Poynings ",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1984-01-01,,MSS_218_CA_24_New
MSS_218_CA_25,"Pyecombe ",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,MSS_218_CA_25_New
MSS_218_CA_26,"Pyecombe Street",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1989-01-01,,MSS_218_CA_26_New
MSS_218_CA_27,"Silverdale Road and Birchwood Grove Road",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1982-01-01,,44001985.0
MSS_218_CA_28,"Slaugham",,"In Progress","https://www.midsussex.gov.uk/planning-building/conservation-areas/"," ",,1984-01-01,,44002206.0
