reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
POR_255_CA_1,"Southsea, Campbell Road",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-campbell-road-guidelines.pdf",""," ",,,,44002279.0
POR_255_CA_2,"Castle Road",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-castle-road-guidelines.pdf","","  Extra documents are available. ",,,,44001938.0
POR_255_CA_3,"Craneswater and Eastern Parade, Southsea",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-craneswater-eastern-parade-guidelines.pdf","","  Extra documents are available. ",,,,44002121.0
POR_255_CA_4,"East Southsea",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-east-southsea-guidelines.pdf","","  Extra documents are available. ",,,,44002164.0
POR_255_CA_5,"Eastney Barracks",,"","","No Appraisal document.  ",,,,44004319.0
POR_255_CA_6,"Essex Road",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-essex-road-guidelines.pdf","","  Extra documents are available. ",,,,44001929.0
POR_255_CA_7,"Guildhall & Victoria Park",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-guildhall-victoria-park-guidelines.pdf","","  Extra documents are available. ",,,,44002149.0
POR_255_CA_8,"Gunwharf",,"","","No Appraisal document.  ",,,,44001865.0
POR_255_CA_9,"Highland Terrace",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-highland-terrace-guidelines.pdf","","  Extra documents are available. ",,,,44002127.0
POR_255_CA_10,"Hilsea Lines",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-hilsea-lines-guidelines.pdf","","  Extra documents are available. ",,,,44001784.0
POR_255_CA_11,"HM Naval Base and St George's Square",,"","","No Appraisal document.  ",,,,44002042.0
POR_255_CA_12,"King Street",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-king-street-guidelines.pdf","","  Extra documents are available. ",,,,44001800.0
POR_255_CA_13,"Mile End",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-mile-end-guidelines.pdf","","  Extra documents are available. ",,,,44001887.0
POR_255_CA_14,"Milton Locks",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-milton-locks-guidelines.pdf","","  Extra documents are available. ",,,,44001855.0
POR_255_CA_15,"Old Portsmouth",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-old-portsmouth-guidelines.pdf","","  Extra documents are available. ",,,,44001999.0
POR_255_CA_16,"Old Wymering",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-old-wymering-guidelines.pdf","","  Extra documents are available. ",,,,44002213.0
POR_255_CA_17,"Owen's Southsea",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-article-42-direction-owens-southsea-guidelines.pdf","","  Extra documents are available. ",,,,44004321.0
POR_255_CA_18,"Portsea",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-portsea-guidelines.pdf","","  Extra documents are available. ",,,,44002171.0
POR_255_CA_19,"Rochester Road",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-rochester-road-guidelines.pdf","","  Extra documents are available. ",,,,44001849.0
POR_255_CA_20,"Eastney, St Andrew's Church",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-st-andrews-church-guidelines.pdf","","  Extra documents are available. ",,,,44002073.0
POR_255_CA_21,"Southsea, St David's Road",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-st-davids-road-guidelines.pdf","","  Extra documents are available. ",,,,44004320.0
POR_255_CA_22,"Fratton, St Mary's Churchyard",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-st-marys-churchyard-guidelines.pdf","","  Extra documents are available. ",,,,44002036.0
POR_255_CA_23,"Southsea, Stanley Street",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-stanley-street-guidelines.pdf","","  Extra documents are available. ",,,,44001821.0
POR_255_CA_24,"Southsea, The Sea Front",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-the-seafront-guidelines.pdf","","  Extra documents are available. ",,,,44002081.0
POR_255_CA_25,"The Terraces",,"https://www.portsmouth.gov.uk/wp-content/uploads/2020/05/development-and-planning-the-terraces-guidelines.pdf","","  Extra documents are available. ",,,,44002003.0
