reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_Q27178932_398_CA_1_1,Q27178932_398_CA_1,"Arncliffe","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-arncliffe-full-final.pdf.pdf",area-appraisal,,,,,44002790.0
D_Q27178932_398_CA_2_1,Q27178932_398_CA_2,"Askrigg","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2022/07/2022-07-14-Askrigg-CAA-Final-Version.pdf",area-appraisal,,,,,44002769.0
D_Q27178932_398_CA_2_2,Q27178932_398_CA_2,"Askrigg","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2022/07/Askrigg-Conservation-Area-Revised-Boundary-Map.pdf,area-map,,,,,44002769.0
D_Q27178932_398_CA_3_1,Q27178932_398_CA_3,"Bainbridge","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/bainbridge_conservation_area_character_appraisal_28-03-00_with_map-6.pdf",area-appraisal,,,,,44002772.0
D_Q27178932_398_CA_4_1,Q27178932_398_CA_4,"Buckden","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/buckden_appraisal_document_-_adopted.pdf",area-appraisal,,,,,44005145.0
D_Q27178932_398_CA_5_1,Q27178932_398_CA_5,"Carperby","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/carperby_conservation_area_character_appraisal_01-03-01_with_map-3.pdf",area-appraisal,,,,,44002773.0
D_Q27178932_398_CA_6_1,Q27178932_398_CA_6,"Castle Bolton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/castle_bolton_conservation_area_character_appraisal_03-11-99_with_map-2.pdf",area-appraisal,,,,,44002771.0
D_Q27178932_398_CA_7_1,Q27178932_398_CA_7,"Clapham","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/ca-adoptedappriasal-clapham.pdf",area-appraisal,,,,,44005138.0
D_Q27178932_398_CA_8_1,Q27178932_398_CA_8,"Dent","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/091202dentfinalv10_final_text_body.pdf",area-appraisal,,,,,44005137.0
D_Q27178932_398_CA_8_2,Q27178932_398_CA_8,"Dent","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/091202dentfinalv10_appendix_a-2.pdf,area-map,,,,,44005137.0
D_Q27178932_398_CA_9_1,Q27178932_398_CA_9,"Downholme","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/2018-04-06_gir-Downholme-CAA-ADOPTED-reduced.pdf",area-appraisal,,,,,44006682.0
D_Q27178932_398_CA_9_2,Q27178932_398_CA_9,"Downholme","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/Downholme-Map.pdf,area-map,,,,,44006682.0
D_Q27178932_398_CA_10_1,Q27178932_398_CA_10,"East Witton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/east_witton_conservation_area_character_appraisal_27-11-01_with_map-3.pdf",area-appraisal,,,,,44002775.0
