reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_RIH_267_CA_1_1,RIH_267_CA_1,"Aldbrough St John","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-richmondshire/conservation-areas/conservation-area-statements","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/aldbrough-st-john-conservation-area-study.pdf",area-appraisal,,,,,44005602.0
D_RIH_267_CA_2_1,RIH_267_CA_2,"Bellerby","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,44005603.0
D_RIH_267_CA_3_1,RIH_267_CA_3,"Bolton on Swale","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,44005617.0
D_RIH_267_CA_4_1,RIH_267_CA_4,"Brompton on Swale","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-richmondshire/conservation-areas/conservation-area-statements","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/brompton-on-swale-conservation-area-study.pdf",area-appraisal,,,,,44005616.0
D_RIH_267_CA_5_1,RIH_267_CA_5,"Catterick Village","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,44005627.0
D_RIH_267_CA_6_1,RIH_267_CA_6,"Constable Burton","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,44005625.0
D_RIH_267_CA_7_1,RIH_267_CA_7,"Croft on Tees","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-richmondshire/conservation-areas/conservation-area-statements","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/croft-conservation-area-study.pdf",area-appraisal,,,,,44005618.0
D_RIH_267_CA_8_1,RIH_267_CA_8,"Dalton","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,44005633.0
D_RIH_267_CA_9_1,RIH_267_CA_9,"Downholme","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,RIH_267_CA_9_New
D_RIH_267_CA_10_1,RIH_267_CA_10,"Easby","https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/conservation-areas-a-g.pdf","",area-appraisal,,,,,44005636.0
