reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
RYE_277_CA_1,"Aislaby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000349.0
RYE_277_CA_2,"Allerston",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000350.0
RYE_277_CA_3,"Ampleforth",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000643.0
RYE_277_CA_4,"Appleton-le-Moors",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_4_New
RYE_277_CA_5,"Barton-le-Street",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000311.0
RYE_277_CA_6,"Barton-le-Willows",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000306.0
RYE_277_CA_7,"Bulmer",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000333.0
RYE_277_CA_8,"Claxton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000308.0
RYE_277_CA_9,"Cold Kirby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_9_New
RYE_277_CA_10,"Coneysthorpe",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000332.0
RYE_277_CA_11,"Flaxton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000305.0
RYE_277_CA_12,"Gillamoor",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_12_New
RYE_277_CA_13,"Harome",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000342.0
RYE_277_CA_14,"Hawnby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_14_New
RYE_277_CA_15,"Helmsley",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_15_New
RYE_277_CA_16,"Howsham",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000303.0
RYE_277_CA_17,"Hovingham",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000304.0
RYE_277_CA_18,"Hutton-le-Hole",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_18_New
RYE_277_CA_19,"Kirkbymoorside",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000343.0
RYE_277_CA_20,"Langton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000337.0
RYE_277_CA_21,"Lastingham",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_21_New
RYE_277_CA_22,"Levisham",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_22_New
RYE_277_CA_23,"Lockton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_23_New
RYE_277_CA_24,"Malton, Old Town",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000338.0
RYE_277_CA_25,"Malton, Town Centre",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000336.0
RYE_277_CA_26,"Marton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000344.0
RYE_277_CA_27,"Middleton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000348.0
RYE_277_CA_28,"Norton-on-Derwent",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000339.0
RYE_277_CA_29,"Nunnington",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000334.0
RYE_277_CA_30,"Old Byland",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_30_New
RYE_277_CA_31,"Oswaldkirk",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000645.0
RYE_277_CA_32,"Pickering, Keld Head",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000347.0
RYE_277_CA_33,"Pickering, Town Centre",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000346.0
RYE_277_CA_34,"Rievaulx",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_34_New
RYE_277_CA_35,"Rosedale Abbey",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,RYE_277_CA_35_New
RYE_277_CA_36,"Sand Hutton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000307.0
RYE_277_CA_37,"Settrington",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-ryedale/conservation-areas","No Appraisal document.  ",,,,44000340.0
