reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
SHF_294_CA_1,"Beauchief Abbey",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/b-abbey/Beauchief%20Abbey%20Appraisal.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/beauchief-abbey","  Extra documents are available. ",,,,44006564.0
SHF_294_CA_2,"Beauchief Hall",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/b-hall/Beauchief%20Hall%20Conservation%20Area%20Appraisal.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/beauchief-hall","  Extra documents are available. ",,,,44006557.0
SHF_294_CA_3,"Birkendale",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/birkendale/Birkendale-Conservation-Area-Appraisal---March-08--pdf--1-54Mb-.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/birkendale","  Extra documents are available.  Best Map is shown on page 19 of the appraisal document. ",,,,44007874.0
SHF_294_CA_4,"Bolsterstone",,"","https://www.sheffield.gov.uk/planning-development/conservation-areas/bolsterstone","No Appraisal document. Duplicate of 44006580, should be kept ",,,,44005832.0
SHF_294_CA_5,"Bolsterstone",,"","https://www.sheffield.gov.uk/planning-development/conservation-areas/bolsterstone","No Appraisal document. Duplicate of 44005832, should be removed ",,,,44006580.0
SHF_294_CA_6,"Brightholmlee",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/b-holmlee/Brightholmlee%20Conservation%20Appraisal.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/brightholmlee","  Extra documents are available. ",,,,44006577.0
SHF_294_CA_7,"Broomhall",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/broomhall/Broomhall%20Appraisal.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/broomhall","  Extra documents are available. ",,,,44006568.0
SHF_294_CA_8,"Broomhill",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/broomhill/Broomhill%20Appraisal.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/broomhill","  Extra documents are available. ",,,,44007878.0
SHF_294_CA_9,"City Centre",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/city/Statement%20of%20Special%20Interest.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/city-centre","  Extra documents are available. ",,,,44006563.0
SHF_294_CA_10,"Cultural Industries Quarter",,"https://www.sheffield.gov.uk/sites/default/files/docs/planning-and-development/cons-areas/ciq/Style%20Club%20Proposal.pdf","https://www.sheffield.gov.uk/planning-development/conservation-areas/cultural-industries-quarter","  Extra documents are available. ",,,,44006560.0
