reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_SHN_295_CA_1_1,SHN_295_CA_1,"Earlestown","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3071/earlestown-conservation-area-appraisal-character-appraisal-and-management-plan/pdf/earlestown-conservation-area-appraisal-character-appraisal-and-management-plan.pdf?m=1647519987437",area-appraisal,,,,,44006516.0
D_SHN_295_CA_2_1,SHN_295_CA_2,"George Street","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3072/george-street-conservation-area-appraisal/pdf/george-street-conservation-area-appraisal.pdf?m=1647519987743",area-appraisal,,,,,44007677.0
D_SHN_295_CA_3_1,SHN_295_CA_3,"Newton-le-Willows High Street","https://www.sthelens.gov.uk/article/3497/Conservation-areas","",area-appraisal,,,,,44007672.0
D_SHN_295_CA_4_1,SHN_295_CA_4,"Newton-le-Willows","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3075/newton-le-willows-conservation-area-appraisal/pdf/newton-le-willows-conservation-area-appraisal.pdf?m=1647519988620",area-appraisal,,,,,44006495.0
D_SHN_295_CA_5_1,SHN_295_CA_5,"Rainford","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3078/rainford-conservation-area-appraisal/pdf/rainford-conservation-area-appraisal.pdf?m=1647519989593",area-appraisal,,,,,44006494.0
D_SHN_295_CA_6_1,SHN_295_CA_6,"Rainford Area 1","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3078/rainford-conservation-area-appraisal/pdf/rainford-conservation-area-appraisal.pdf?m=1647519989593",area-appraisal,,,,,44007675.0
D_SHN_295_CA_7_1,SHN_295_CA_7,"Rainford Area 2","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3078/rainford-conservation-area-appraisal/pdf/rainford-conservation-area-appraisal.pdf?m=1647519989593",area-appraisal,,,,,44007676.0
D_SHN_295_CA_8_1,SHN_295_CA_8,"Rainhill","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3080/rainhill-conservation-areas-management-plan/pdf/rainhill-conservation-areas-management-plan.pdf?m=1647519990293",area-appraisal,,,,,44006687.0
D_SHN_295_CA_9_1,SHN_295_CA_9,"Rainhill Area 1","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3080/rainhill-conservation-areas-management-plan/pdf/rainhill-conservation-areas-management-plan.pdf?m=1647519990293",area-appraisal,,,,,44007674.0
D_SHN_295_CA_10_1,SHN_295_CA_10,"Rainhill Area 2","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3080/rainhill-conservation-areas-management-plan/pdf/rainhill-conservation-areas-management-plan.pdf?m=1647519990293",area-appraisal,,,,,44007679.0
D_SHN_295_CA_11_1,SHN_295_CA_11,"Rainhill Area 3","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3080/rainhill-conservation-areas-management-plan/pdf/rainhill-conservation-areas-management-plan.pdf?m=1647519990293",area-appraisal,,,,,44007678.0
D_SHN_295_CA_12_1,SHN_295_CA_12,"Victoria Square","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3081/victoria-square-conservation-area-appraisal/pdf/victoria-square-conservation-area-appraisal.pdf?m=1647519990633",area-appraisal,,,,,44004942.0
D_SHN_295_CA_13_1,SHN_295_CA_13,"Vulcan Village","https://www.sthelens.gov.uk/article/3497/Conservation-areas","https://www.sthelens.gov.uk/media/3084/vulcan-village-conservation-area-appraisal/pdf/vulcan-village-conservation-area-appraisal.pdf?m=1647519991507",area-appraisal,,,,,44004834.0
