reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_STA_315_CA_1_1,STA_315_CA_1,"Bradley","https://www.staffordbc.gov.uk/conservation-areas-list","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Areas%20List/Bradley-Conservation-Area-Appraisal-2012.pdf",area-appraisal,,,,,44006316.0
D_STA_315_CA_1_2,STA_315_CA_1,"Bradley","https://www.staffordbc.gov.uk/conservation-areas-list",https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Area%20Boundaries/Bradley-CA-boundary-2012.pdf,area-map,,,,,44006316.0
D_STA_315_CA_2_1,STA_315_CA_2,"Burton Manor Village","https://www.staffordbc.gov.uk/conservation-areas-list","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Areas%20List/Burton-Manor-CAA-2014.pdf",area-appraisal,,,,,44000846.0
D_STA_315_CA_2_2,STA_315_CA_2,"Burton Manor Village","https://www.staffordbc.gov.uk/conservation-areas-list",https://www.staffordbc.gov.uk/burton-manor-village-conservation-area-boundary,area-map,,,,,44000846.0
D_STA_315_CA_3_1,STA_315_CA_3,"Chebsey","https://www.staffordbc.gov.uk/conservation-areas-list","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Areas%20List/Chebsey-Conservation-Area-Appraisal-June-2015.pdf",area-appraisal,,,,,44006317.0
D_STA_315_CA_3_2,STA_315_CA_3,"Chebsey","https://www.staffordbc.gov.uk/conservation-areas-list",https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Area%20Boundaries/Chebsey-Conservation-Area-Appraisal-11-6-15_0.jpg,area-map,,,,,44006317.0
D_STA_315_CA_4_1,STA_315_CA_4,"Church Eaton","https://www.staffordbc.gov.uk/conservation-areas-list","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Areas%20List/Church-Eaton-Conservation-Area-Appraisal-2017.pdf",area-appraisal,,,,,44000841.0
D_STA_315_CA_4_2,STA_315_CA_4,"Church Eaton","https://www.staffordbc.gov.uk/conservation-areas-list",https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Area%20Boundaries/Church-Eaton-Conservation-Area-Boundary-06-03-2017.jpg,area-map,,,,,44000841.0
D_STA_315_CA_5_1,STA_315_CA_5,"Colwich and Little Haywood","https://www.staffordbc.gov.uk/conservation-areas-list","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Areas%20List/Colwich-and-Little-Haywood-Conservation-ARea-Appraisal-2014.pdf",area-appraisal,,,,,44006318.0
D_STA_315_CA_5_2,STA_315_CA_5,"Colwich and Little Haywood","https://www.staffordbc.gov.uk/conservation-areas-list",https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Area%20Boundaries/Colwich-and-Little-Haywood-Conservation-Area-Boundary-7-8-2014.pdf,area-map,,,,,44006318.0
D_STA_315_CA_6_1,STA_315_CA_6,"Corporation Street Flats","https://www.staffordbc.gov.uk/conservation-areas-list","https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Areas%20List/Corporation-Street-Flats-Conservation-Area-2014.pdf",area-appraisal,,,,,44006319.0
D_STA_315_CA_6_2,STA_315_CA_6,"Corporation Street Flats","https://www.staffordbc.gov.uk/conservation-areas-list",https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Conservation/Conservation%20Areas/Conservation%20Area%20Boundaries/Corporation-Street-Flats-boundary-3-7-14.png,area-map,,,,,44006319.0
