reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
SWD_328_CA_1,"Badbury",,"https://www.swindon.gov.uk/download/downloads/id/5146/conservation_area_appraisal_for_badbury.pdf","https://www.swindon.gov.uk/info/20059/land_and_premises/373/conservation_areas","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000789.0
SWD_328_CA_2,"Bishopstone",,"https://www.swindon.gov.uk/download/downloads/id/5255/conservation_area_appraisal_-_bishopstone.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000791.0
SWD_328_CA_3,"Blunsdon St Andrew",,"https://www.swindon.gov.uk/download/downloads/id/5244/conservation_area_appraisal_-_blunsdon_st_andrew.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000792.0
SWD_328_CA_4,"Broad Blunsdon",,"https://www.swindon.gov.uk/download/downloads/id/5251/conservation_area_appraisal_-_broad_blunsdon.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000793.0
SWD_328_CA_5,"Castle Eaton",,"https://www.swindon.gov.uk/download/downloads/id/5253/conservation_area_appraisal_-_castle_eaton.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44003959.0
SWD_328_CA_6,"Chiseldon",,"https://www.swindon.gov.uk/download/downloads/id/5243/conservation_area_appraisal_-_chiseldon.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44003965.0
SWD_328_CA_7,"Hampton",,"https://www.swindon.gov.uk/download/downloads/id/5261/conservation_area_appraisal_-_hampton.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000795.0
SWD_328_CA_8,"Hannington",,"https://www.swindon.gov.uk/download/downloads/id/5256/conservation_area_appraisal_-_hannington.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000796.0
SWD_328_CA_9,"Highworth",,"https://www.swindon.gov.uk/download/downloads/id/5236/conservation_area_appraisal_-_highworth.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000797.0
SWD_328_CA_10,"Hinton Parva",,"https://www.swindon.gov.uk/download/downloads/id/5241/conservation_area_appraisal_-_hinton_parva.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000798.0
SWD_328_CA_11,"Hodson",,"https://www.swindon.gov.uk/download/downloads/id/5257/conservation_area_appraisal_-_hodson.pdf","","Documents are a page separated from source URL. Interactive map available  Extra documents are available. ",,,,44000799.0
