reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
UTT_351_CA_1,"Arkesden",,"https://www.uttlesford.gov.uk/media/1908/Arkesden-Conservation-Area-Appraisal/pdf/Arkesden_CAA_20_Jan_2013_Low_res.pdf?m=1682417427007","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005571.0
UTT_351_CA_2,"Ashdon",,"https://www.uttlesford.gov.uk/media/1916/Ashdon-Conservation-Area-Appraisal/pdf/Ashdon_CAA_20_Jan_2013_Low_res.pdf?m=1682412880617","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005572.0
UTT_351_CA_3,"Audley End",,"https://www.uttlesford.gov.uk/media/4376/Audley-End-Conservation-Area-Appraisal/pdf/Audley_End_CAA_06_Jan_2015_Low_res.pdf?m=1682517424100","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005573.0
UTT_351_CA_4,"Bentfield Causeway",,"https://www.uttlesford.gov.uk/media/4027/Bentfield-Green-Conservation-Area-Appraisal/pdf/Bentfield_Grn_CAA_28_Oct_2014_Low_res.pdf?m=1683125946820","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44006489.0
UTT_351_CA_5,"Bentfield Green",,"https://www.uttlesford.gov.uk/media/1917/Clavering-Conservation-Area-Appraisal/pdf/Clavering_Approved_CA.pdf?m=1682417764407","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44001635.0
UTT_351_CA_6,"Clavering",,"https://www.uttlesford.gov.uk/media/1917/Clavering-Conservation-Area-Appraisal/pdf/Clavering_Approved_CA.pdf?m=1682417764407","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44006482.0
UTT_351_CA_7,"Elmdon",,"https://www.uttlesford.gov.uk/media/4148/Elmdon-Conservation-Area-Appraisal/pdf/Elmdon_CAA_05_Dec_2014_Low_res.pdf?m=1682412939097","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005574.0
UTT_351_CA_8,"Felsted",,"https://www.uttlesford.gov.uk/media/1919/Felsted-Conservation-Area-Appraisal/pdf/Felsted_CAA_14_Dec_12_Low_res_WEB.pdf?m=1682413320590","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005575.0
UTT_351_CA_9,"Great Canfield",,"https://www.uttlesford.gov.uk/media/2907/Great-Canfield-Conservation-Area-Appraisal/pdf/GtCanfield_CAA_30_July_2014_Low_res.pdf?m=1683114851523","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005576.0
UTT_351_CA_10,"Great Chesterford",,"https://www.uttlesford.gov.uk/media/1920/Great-Chesterford-Conservation-Area-Appraisal/pdf/Great_Chesterford_Appraisal_Approved.pdf?m=1684431382420","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44001108.0
UTT_351_CA_11,"Great Dunmow",,"https://www.uttlesford.gov.uk/media/1921/Great-Dunmow-Conservation-Area-Appraisal/pdf/Great_Dunmow_Approved_CA.pdf?m=1682595374400","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44006486.0
UTT_351_CA_12,"Great Easton",,"https://www.uttlesford.gov.uk/media/2672/Great-Easton-Conservation-Area-Appraisal/pdf/GtEaston_CAA_30_July_2014_Low_res.pdf?m=1682595663297","https://www.uttlesford.gov.uk/conservation-area-appraisals","  Extra documents are available. ",,,,44005766.0
