reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_WIN_369_CA_1_1,WIN_369_CA_1,"Abbots Worthy","https://www.winchester.gov.uk/historic-environment/conservation-areas/technical-assessments","https://www.winchester.gov.uk/assets/attach/21683/Abbots-Worthy-Conservation-Area-Technical-Assessment-Aug1997.pdf",area-appraisal,,,,,WIN_369_CA_1_New
D_WIN_369_CA_2_1,WIN_369_CA_2,"Avington","https://www.winchester.gov.uk/historic-environment/conservation-areas/technical-assessments","https://www.winchester.gov.uk/assets/attach/21684/Avington-Conservation-Area-Technical-Assessment-March-2002.pdf",area-appraisal,,,,,WIN_369_CA_2_New
D_WIN_369_CA_3_1,WIN_369_CA_3,"Bishops Waltham","https://www.winchester.gov.uk/historic-environment/conservation-areas/technical-assessments","https://www.winchester.gov.uk/assets/attach/21685/Bishops-Waltham-Conservation-Area-Technical-Assessment-November-2001.pdf",area-appraisal,,,,,44006840.0
D_WIN_369_CA_4_1,WIN_369_CA_4,"Botley","","https://www.winchester.gov.uk/assets/attach/21686/Botley-Conservation-Area-Technical-Assessment-1975.pdf",area-appraisal,,,,,44006811.0
D_WIN_369_CA_5_1,WIN_369_CA_5,"Cheriton","","https://www.winchester.gov.uk/assets/attach/21687/Cheriton-Conservation-Area-Technical-Assessment-Feb-1998.pdf",area-appraisal,,,,,WIN_369_CA_5_New
D_WIN_369_CA_6_1,WIN_369_CA_6,"Chilland","","https://www.winchester.gov.uk/assets/attach/21688/Chilland-Conservation-Area-Technical-Assessment-August-1997.pdf",area-appraisal,,,,,WIN_369_CA_6_New
D_WIN_369_CA_7_1,WIN_369_CA_7,"Compton Street","","https://www.winchester.gov.uk/assets/attach/21689/Compton-Street-Conservation-Area-Technical-Assessment.pdf",area-appraisal,,,,,44006834.0
D_WIN_369_CA_8_1,WIN_369_CA_8,"Corhampton and Meonstoke (West Meon & Exton)","","https://www.winchester.gov.uk/assets/attach/21690/Corhampton-and-Meonstoke-West-Meon-Exton-Conservation-Area-Technical-Assessmnet-1972.pdf",area-appraisal,,,,,WIN_369_CA_8_New
D_WIN_369_CA_9_1,WIN_369_CA_9,"Crawley","","https://www.winchester.gov.uk/assets/attach/21691/Crawley-Conservation-Area-Technical-Assessment-1972.pdf",area-appraisal,,,,,44006844.0
D_WIN_369_CA_10_1,WIN_369_CA_10,"Easton","","https://www.winchester.gov.uk/assets/attach/26938/Easton-Conservation-Area-Technical-Assessment-Dec-1997.pdf",area-appraisal,,,,,WIN_369_CA_10_New
