reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
WYO_393_CA_1,"Abbotsbrook",,"https://www.buckinghamshire.gov.uk/documents/15616/Abbotsbrook-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009396.0
WYO_393_CA_2,"Alscot",,"https://www.buckinghamshire.gov.uk/documents/15621/Alscot-conservation-area-character-appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009397.0
WYO_393_CA_3,"Amersham Hill",,"https://www.buckinghamshire.gov.uk/documents/15623/Amersham-Hill-CAA.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009398.0
WYO_393_CA_4,"Askett",,"https://www.buckinghamshire.gov.uk/documents/15629/Askett-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009399.0
WYO_393_CA_5,"Berghers Hill",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Berghers-Hill-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009401.0
WYO_393_CA_6,"Bledlow",,"https://www.buckinghamshire.gov.uk/documents/15638/Bledlow-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009402.0
WYO_393_CA_7,"Bradenham",,"","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","No Appraisal document.  ",,,,44009403.0
WYO_393_CA_8,"Cadmore End",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/cadmore-end-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009405.0
WYO_393_CA_9,"Cadmore End Common",,"https://www.buckinghamshire.gov.uk/documents/15653/Cadmore-End-Common-Conservation-Area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009404.0
WYO_393_CA_10,"Clapton Mill",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/clapton-mill-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009407.0
WYO_393_CA_11,"Downley Common",,"","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","No Appraisal document.  ",,,,44009409.0
WYO_393_CA_12,"Ellesborough",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/ellesborough-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009410.0
WYO_393_CA_13,"Fawley Green",,"https://www.buckinghamshire.gov.uk/documents/15689/fawley-green-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","Fawley and Fawley Green are two areas in the same entity  Extra documents are available. ",,,,44009413.0
WYO_393_CA_14,"Fawley Court",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","Just some text on the list page ",,,,44009411.0
WYO_393_CA_15,"Fingest",,"https://www.buckinghamshire.gov.uk/documents/15690/Fingest-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009414.0
WYO_393_CA_16,"Four Ashes",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Four-ashes-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 2 of the appraisal document. ",,,,44009415.0
WYO_393_CA_17,"Frieth",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Frieth-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 4 of the appraisal document. ",,,,44009416.0
WYO_393_CA_18,"Great Hampden",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","Just some text on the list page ",,,,44009418.0
WYO_393_CA_19,"Hambleden",,"https://www.buckinghamshire.gov.uk/documents/15702/Hambleden-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009419.0
WYO_393_CA_20,"Hampden House",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","Just some text on the list page ",,,,44009420.0
WYO_393_CA_21,"Harleyford and Whittington House",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","Just some text on the list page ",,,,44009421.0
WYO_393_CA_22,"Hedsor and Riversdale",,"https://www.buckinghamshire.gov.uk/documents/15706/Hedsor-Road-and-Riversdale-Conservation-Area-Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009422.0
WYO_393_CA_23,"High Wycombe",,"https://www.buckinghamshire.gov.uk/documents/15713/High-Wycombe-conservation-area-appraisal-introduction.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","Multi-part appraisal  Extra documents are available. ",,,,44009423.0
WYO_393_CA_24,"Horsenden",,"https://www.buckinghamshire.gov.uk/documents/15722/Horsenden-conservation-area-character-appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009424.0
WYO_393_CA_25,"Hughenden Manor",,"","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","No Appraisal document.  ",,,,44009425.0
WYO_393_CA_26,"Ilmer",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Ilmer-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009426.0
WYO_393_CA_27,"Lacey Green",,"https://www.buckinghamshire.gov.uk/documents/15731/Lacey-Green-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009427.0
WYO_393_CA_28,"Lane End",,"https://www.buckinghamshire.gov.uk/documents/15732/Lane-End-Conservation-Area-Character-Survey-Part-1.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","2 part appraisal and map spans both docs  Extra documents are available.  Best Map is shown on page 6 of the appraisal document. ",,,,44009428.0
