reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
3078,"Cathedral",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Mgmt_Plan_Bburn.PDF","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000658
3067,"Chapeltown",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Chapeltown%20Conservation%20Area%20Appraisal.pdf","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000655
3070,"Corporation Park",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Conservation%20area-Corporation-Park-management-plan-Jan-2013.pdf","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44006684
3081,"Darwen Street",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Mgmt_Plan_Bburn.PDF","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000660
3230,"Darwen Town Centre",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44004782
New193,"Eanam Wharf",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,
3068,"Edgworth",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000654
3072,"Griffin",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000657
3069,"Hoddlesden",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000656
3080,"King Street",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Mgmt_Plan_Bburn.PDF","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000661
3079,"Northgate",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Mgmt_Plan_Bburn.PDF","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44004780
3073,"Revidge",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44000659
3076,"Richmond Terrace",,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/Mgmt_Plan_Bburn.PDF","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,44004781
New201,"Turton",,"No Appraisal document","https://www.blackburn.gov.uk/land-and-property/conservation-areas",,,"",,,,
