reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_1350_1,1350,"Alvechurch","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/barbs4ym/alvechurch-conservation-area-designated-november-1968.pdf",area-appraisal,,,1968-11-01,,44000047
D_1351_1,1351,"Barnt Green","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/xo0iycxo/barnt-green-conservation-area-designated-december-2000.pdf",area-appraisal,,,2000-12-01,,44001413
D_1352_1,1352,"Belbroughton","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/fxebict2/belbroughton-ca-appraisal-and-management-plan-july-2012.pdf",area-appraisal,,,,,44000053
D_1353_1,1353,"Beoley","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/5a2fufl1/beoley-ca-character-appraisal-and-management-plan-april-2017.pdf",area-appraisal,,,1980-08-01,,44000052
D_1354_1,1354,"Bromsgrove Town Centre","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/jfke2orq/bromsgrove-town-centre-conservation-area-designated-1968.pdf",area-appraisal,,,1968-01-01,,44006474
D_1355_1,1355,"Clent","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/jwibvsxr/clent-conservation-area-designated-march-1981.pdf",area-appraisal,,,1981-03-01,,44000049
D_1356_1,1356,"Dodford","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/v2fjb5qo/dodford-ca-character-appraisal-and-management-plan-december-2018.pdf",area-appraisal,,,2018-12-01,,44000048
D_1357_1,1357,"Hagley","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/3ignfrbe/hagley-conservation-area-designated-october-1987.pdf",area-appraisal,,,1987-10-01,,44000046
D_9701_1,9701,"Hewell Grange","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/1hlfgc5y/hewell-grange-ca-character-appraisal-august-2010.pdf",area-appraisal,,,,,44006088
D_9701_2,9701,"Hewell Grange","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/",https://www.bromsgrove.gov.uk/media/xrgh04o2/hewell-grange-ca-boundary-map.pdf,area-map,,,,,44006088
D_1358_1,1358,"Holy Cross","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/ql1oef11/holy-cross-conservation-area-designated-march-1981.pdf",area-appraisal,,,,,44000051
D_10101_1,10101,"St John's","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/esypf2se/st-john-s-ca-character-appraisal-june-2011.pdf",area-appraisal,,,2011-06-01,,44006473
D_1359_1,1359,"Worcester and Birmingham Canal","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","https://www.bromsgrove.gov.uk/media/scchwnus/worcester-birmingham-canal-ca-character-appraisal-and-management-plan-january-2021.pdf",area-appraisal,,,,,44000050
