reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
5159,"Bosham",,"https://www.chichester.gov.uk/media/18256/Bosham-Conservation-Area-Character-Appraisal/pdf/Bosham_CACA_Review_2013_Published_WEB_2.pdf?m=1375964625620","https://www.chichester.gov.uk/conservationareaappraisals",,," Extra documents are available. ",,,,44004216
5160,"Boxgrove",,"https://www.chichester.gov.uk/media/10785/Boxgrove-Conservation-Area-Appraisal-and-Management-Proposals/pdf/Boxgrove_CA_02-09-10.pdf?m=1288701700733","https://www.chichester.gov.uk/conservationareaappraisals",,,"",,,,44004213
5164,"Chichester",,"https://www.chichester.gov.uk/media/3181/Chichester-Conservation-Area-Character-Appraisal/pdf/Chichester-Conservation-Area-Character-Appraisal.pdf?m=1723115173347","https://www.chichester.gov.uk/conservationareaappraisals",,,"",,,,44002015
5169,"Dell Quay",,"https://www.chichester.gov.uk/media/3466/Dell-Quay-Conservation-Area-Character-Appraisal/pdf/Dell_Quay_CACA_2012.pdf?m=1723115283310","https://www.chichester.gov.uk/conservationareaappraisals",,," Best Map is shown on page 27 of the appraisal document. ",,,,44004218
5171,"Donnington",,"https://www.chichester.gov.uk/media/3467/Donnington-Conservation-Area-Character-Appraisal/pdf/Donnington_CACA_2012.pdf?m=1723116057567","https://www.chichester.gov.uk/conservationareaappraisals",,," Best Map is shown on page 26 of the appraisal document. ",,,,44004219
5177,"Earnley",,"https://www.chichester.gov.uk/media/18290/Earnley-Conservation-Area-Character-Appraisal/pdf/Earnley_CACA_Review_2013_Approved_WEB.pdf?m=1376327423280","https://www.chichester.gov.uk/conservationareaappraisals",,,"",,,,44004225
5189,"Fishbourne",,"https://www.chichester.gov.uk/media/3151/Fishbourne-Conservation-Area-Character-Appraisal/pdf/Fishbourne_CACA_2012.pdf?m=1723117961327","https://www.chichester.gov.uk/conservationareaappraisals",,,"",,,,44004217
5494,"Halnaker",,"https://www.chichester.gov.uk/media/10792/Halnaker-Conservation-Area-Appraisal-and-Management-Proposals/pdf/Halnaker_CA_21-09-10.pdf?m=1288702842153","https://www.chichester.gov.uk/conservationareaappraisals",,," Extra documents are available. ",,,,44004212
5498,"Hunston",,"https://www.chichester.gov.uk/media/3469/Hunston-Conservation-Area-Character-Appraisal/pdf/Hunston_CACA_2012.pdf?m=1723117262560","https://www.chichester.gov.uk/conservationareaappraisals",,," Best Map is shown on page 27 of the appraisal document. ",,,,44004220
5507,"Midhurst",,"https://www.chichester.gov.uk/media/5281/Midhurst-Conservation-Area-Character-Appraisal/pdf/MIDHURST_CAAMP.pdf?m=1723117428377","https://www.chichester.gov.uk/conservationareaappraisals",,,"",,,,44004206
