reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
6,"Akroydon",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/Akroydon-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1976-12-15,,44003010
7,"Copley",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/Copley-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1983-10-18,,44007919
2,"Elland",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/elland-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"Duplicate of 44005067, should be kept Best Map is shown on page 46 of the appraisal document. ",,1992-02-25,,44007924
4,"Halifax Town Centre",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/halifax-town-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 21 of the appraisal document. ",,1974-10-23,,44003008
13,"Hebden Bridge",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/hebden-bridge-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"Duplicate of 44005068, should be kept Best Map is shown on page 22 of the appraisal document. ",,1973-07-27,,44007920
18,"Heptonstall",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/heptonstall-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1971-01-07,,44007922
15,"Huddersfield Road East, Halifax",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/Huddersfield-Road-East-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"",,2005-10-24,,44003020
9,"Luddenden",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/luddenden-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 5 of the appraisal document. ",,1973-02-26,,44003014
14,"Lumbutts and Mankinholes",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/lumbutts-mankinholes-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 32 of the appraisal document. ",,1980-12-03,,44007921
12,"Mill Bank and Cottonstones",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/mill-bank-cottonstones-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1976-06-23,,44003018
17,"Mytholmroyd",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/mytholmroyd-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 8 of the appraisal document. ",,2001-07-02,,44003022
9697,"Northowram Village",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/northowram-village-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 6 of the appraisal document. ",,2011-01-10,,44005066
5,"Peoples Park",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/peoples-park-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1981-09-23,,44003009
8,"Ripponden",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/ripponden-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1972-03-10,,44003013
19,"Savile Park",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/savile-park-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"",,2005-10-24,,44003012
16,"Skircoat Green",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/skircoat-green-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"",,2004-10-24,,44003021
11,"Sowerby Bridge",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/sowerby-bridge-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1984-06-05,,44003016
3,"Stainland",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/stainland-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1982-11-30,,44003007
1,"Todmorden",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/todmorden-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"Duplicate of 44003023, should be kept Best Map is shown on page 58 of the appraisal document. ",,1974-03-01,,44007923
10,"Warley",,"https://new.calderdale.gov.uk/sites/default/files/2023-06/warley-conservation-area.pdf","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,," Best Map is shown on page 2 of the appraisal document. ",,1976-10-20,,44003015
New445,"West Vale",,"No Appraisal document","https://new.calderdale.gov.uk/planning-and-building-control/conservation",,,"",,2023-08-07,,
