reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_2696_1,2696,"Allestree","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-AllestreeConservationArea.pdf",area-appraisal,,,1991-09-01,,44000854
D_2697_1,2697,"Arboretum","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-ArboretumConservationArea.pdf",area-appraisal,,,1975-03-01,,44000849
D_2698_1,2698,"City Centre","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-conservation-area-city-centre.pdf",area-appraisal,,,1987-10-01,,44000848
D_2698_2,2698,"City Centre","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/",https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/derby-city-centre-character-area-map.pdf,area-map,,,1987-10-01,,44000848
D_2699_1,2699,"Darley Abbey","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-DarleyAbbeyConservationArea.pdf",area-appraisal,,,2003-01-01,,44000861
D_2701_1,2701,"Friar Gate","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-conservation-area-friar-gate.pdf",area-appraisal,,,1987-10-01,,44000859
D_2701_2,2701,"Friar Gate","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/",https://maps.derby.gov.uk/webmap/Map.aspx?MapName=PublicMaps,area-map,,,1987-10-01,,44000859
D_2702_1,2702,"Hartington Street","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-HartingtonStreetConservationArea.pdf",area-appraisal,,,1982-11-01,,44000851
D_2703_1,2703,"Highfield Cottages","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-HighfieldCottagesConservationArea.pdf",area-appraisal,,,1993-01-13,,44000858
D_2704_1,2704,"Leylands","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-LeylandsConservationArea.pdf",area-appraisal,,,1994-01-06,,44000856
D_2705_1,2705,"Little Chester","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-LittleChesterConservationArea.pdf",area-appraisal,,,1991-09-01,,44000860
D_2706_1,2706,"Markeaton","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-MarkeatonConservationArea.pdf",area-appraisal,,,1975-09-01,,44000855
D_2707_1,2707,"Mickleover","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-MickleoverConservationArea.pdf",area-appraisal,,,1975-03-01,,44000852
D_2708_1,2708,"Nottingham Road","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-NottinghamRoadConservationArea.pdf",area-appraisal,,,1993-06-09,,44000857
D_2709_1,2709,"Railway","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-RailwayConservationArea.pdf",area-appraisal,,,2009-04-21,,44004686
D_2710_1,2710,"Spondon","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-SpondonConservationArea.pdf",area-appraisal,,,1986-01-01,,44000853
D_2711_1,2711,"Strutts Park","https://www.derby.gov.uk/environment-and-planning/conservation/conservation-areas/","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/conservation/DerbyCityCouncil-StruttsParkConservationArea.pdf",area-appraisal,,,1991-11-01,,44000850
