reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
5295,"Acton Green",,"https://www.ealing.gov.uk/download/downloads/id/2084/acton_green_conservation_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1022/acton_conservation_areas",,," Extra documents are available.  Best Map is shown on page 4 of the appraisal document. ",,1982-01-01,,44002323
5296,"Acton Park",,"https://www.ealing.gov.uk/download/downloads/id/2086/acton_park_conservation_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1022/acton_conservation_areas",,," Extra documents are available.  Best Map is shown on page 4 of the appraisal document. ",,2004-01-01,,44002337
5297,"Acton Town Centre",,"https://www.ealing.gov.uk/download/downloads/id/2088/acton_town_centre_conservation_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1022/acton_conservation_areas",,," Extra documents are available.  Best Map is shown on page 4 of the appraisal document. ",,2004-01-01,,44002324
5294,"Bedford Park",,"No Appraisal document","https://www.ealing.gov.uk/info/201158/conservation_areas/1022/acton_conservation_areas",,," Extra documents are available.  Best Map is shown on page 4 of the appraisal document. ",,2004-01-01,,44002325
5307,"Brentham Garden Estate",,"https://www.ealing.gov.uk/download/downloads/id/2091/brentham_garden_estate_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1025/ealing_conservation_areas/2",,," Extra documents are available.  Best Map is shown on page 34 of the appraisal document. ",,1969-01-01,,44002328
5306,"Brunswick",,"https://www.ealing.gov.uk/downloads/download/884/brunswick_appraisal","https://www.ealing.gov.uk/info/201158/conservation_areas/1025/ealing_conservation_areas/3",,," Extra documents are available. ",,2007-01-01,,44002326
5300,"Canalside",,"https://www.ealing.gov.uk/download/downloads/id/2093/canalside_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1027/southall_conservation_areas/2",,," Extra documents are available. ",,1993-01-01,,44002341
5286,"Churchfields",,"https://www.ealing.gov.uk/download/downloads/id/2017/churchfields_conservation_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1029/hanwell_conservation_areas",,," Extra documents are available.  Best Map is shown on page 4 of the appraisal document. ",,1997-01-01,,44002343
5308,"Creffield",,"https://www.ealing.gov.uk/download/downloads/id/2479/creffield_conservation_area_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1025/ealing_conservation_areas/3",,," Extra documents are available. ",,2004-01-01,,44002327
5301,"Cuckoo Estate",,"https://www.ealing.gov.uk/download/downloads/id/2457/cuckoo_estate_appraisal.pdf","https://www.ealing.gov.uk/info/201158/conservation_areas/1029/hanwell_conservation_areas",,," Extra documents are available. ",,2007-01-01,,44002342
