reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_44_1,44,"College","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council","https://www.lewes-eastbourne.gov.uk/media/1713/College-Conservation-Area-Appraisal/pdf/College_Conservation_Area_Appraisal.pdf?m=1682435973497",area-appraisal,,,2019-02-01,,44005469
D_44_2,44,"College","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council",https://www.lewes-eastbourne.gov.uk/media/1712/College-Conservation-Area-Map/pdf/College_CA.pdf?m=1728552332833,area-map,,,2019-02-01,,44005469
D_45_1,45,"Meads","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council","https://www.lewes-eastbourne.gov.uk/media/1709/Meads-Conservation-Area-Appraisal/pdf/Meads_Conservation_Area_Appraisal.pdf?m=1682435972697",area-appraisal,,,2012-04-01,,44005470
D_45_2,45,"Meads","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council",https://www.lewes-eastbourne.gov.uk/media/1708/Meads-Conservation-Area-Map/pdf/Meads_CA.pdf?m=1728552354927,area-map,,,2012-04-01,,44005470
D_46_1,46,"Old Town",,"No Appraisal document",area-appraisal,,,,,44005471
D_46_2,46,"Old Town",,https://www.lewes-eastbourne.gov.uk/media/4129/Old-Town-Conservation-Area-Map/pdf/Old_Town_CA.pdf?m=1728551246357,area-map,,,,,44005471
D_47_1,47,"Park Close","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council","https://www.lewes-eastbourne.gov.uk/media/1707/The-Park-Close-Conservation-Area-Appraisal-part-1/pdf/The_Park_Close_Conservation_Area_Appraisal_part_1.pdf?m=1682435972197",area-appraisal,,,,,44005472
D_47_2,47,"Park Close","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council",https://www.lewes-eastbourne.gov.uk/media/4128/Park-Close-Conservation-Area-Map/pdf/Park_Close_CA.pdf?m=1728551246040,area-map,,,,,44005472
D_52_1,52,"Ratton",,"No Appraisal document",area-appraisal,,,,,44005473
D_52_2,52,"Ratton",,https://www.lewes-eastbourne.gov.uk/media/4127/Ratton-Conservation-Area-Map/pdf/Ratton_CA.pdf?m=1728551245777,area-map,,,,,44005473
D_62_1,62,"Saffrons",,"No Appraisal document",area-appraisal,,,,,44005474
D_62_2,62,"Saffrons",,https://www.lewes-eastbourne.gov.uk/media/4126/Saffrons-Conservation-Area-Map/pdf/Saffrons_CA.pdf?m=1728551245540,area-map,,,,,44005474
D_58_1,58,"South Lynn Drive",,"No Appraisal document",area-appraisal,,,,,44005475
D_58_2,58,"South Lynn Drive",,https://www.lewes-eastbourne.gov.uk/media/4125/South-Lynn-Drive-Conservation-Area-Map/pdf/South_Lynn_Drive_CA.pdf?m=1728551245287,area-map,,,,,44005475
D_60_1,60,"Torfield","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council","https://www.lewes-eastbourne.gov.uk/media/1705/Torfield-Conservation-Area-Appraisal/pdf/Torfield_Conservation_Area_Appraisal.pdf?m=1682435971890",area-appraisal,,,2012-09-01,,44005478
D_60_2,60,"Torfield","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council",https://www.lewes-eastbourne.gov.uk/media/1704/Torfield-Conservation-Area-Map/pdf/Torfield_CA.pdf?m=1728552387417,area-map,,,2012-09-01,,44005478
D_63_1,63,"Town Centre and Seafront",,"No Appraisal document",area-appraisal,,,,,44005479
D_63_2,63,"Town Centre and Seafront",,https://www.lewes-eastbourne.gov.uk/media/4124/Town-Centre-and-Seafront-Conservation-Area-Map/pdf/Town_Centre_and_Seafront_CA.pdf?m=1728551244957,area-map,,,,,44005479
D_59_1,59,"Upperton","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council","https://www.lewes-eastbourne.gov.uk/media/1703/Upperton-Conservation-Area-Appraisal/pdf/Upperton_Conservation_Area_Appraisal.pdf?m=1682435971597",area-appraisal,,,2011-01-01,,44005480
D_59_2,59,"Upperton","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council",https://www.lewes-eastbourne.gov.uk/media/4123/Upperton-Conservation-Area-Map/pdf/Upperton_CA.pdf?m=1728551244680,area-map,,,2011-01-01,,44005480
D_50_1,50,"Warrior Square","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council","https://www.lewes-eastbourne.gov.uk/media/1702/Warrior-Square-Draft-Conservation-Area-Appraisal/pdf/Warrior_Square_Draft_Conservation_Area_Appraisal.pdf?m=1682435971257",area-appraisal,,,2011-03-01,,44005476
D_50_2,50,"Warrior Square","https://www.lewes-eastbourne.gov.uk/article/1830/Conservation-area-appraisals-Eastbourne-Borough-Council",https://www.lewes-eastbourne.gov.uk/media/4122/Warrior-Square-Conservation-Area-Map/pdf/Warrior_Square_CA.pdf?m=1728551244463,area-map,,,2011-03-01,,44005476
D_54_1,54,"Willingdon",,"No Appraisal document",area-appraisal,,,,,44005477
D_54_2,54,"Willingdon",,https://www.lewes-eastbourne.gov.uk/media/4121/Willingdon-Conservation-Area-Map/pdf/Willingdon_CA.pdf?m=1728551244013,area-map,,,,,44005477
