reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
2504,"Almeley",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1987-01-01,,44000015
5106,"Aylestone Hill",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1969-01-01,,44000016
New1510,"Aylton ",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1991-01-01,,
New1511,"Bircher ",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,
New1512,"Bodenham",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1990-01-01,,
New1513,"Bodenham Road",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1992-01-01,,
New1514,"Bosbury",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,
New1515,"Bromyard",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1997-01-01,,
New1516,"Broomy Hill",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1975-01-01,,
New1517,"Bulmer Garden Suburb",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1991-01-01,,
New1518,"Burghill",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,
New1519,"Cradley",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,
New1520,"Colwall Stone / Upper Colwall",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,2001-01-01,,
New1521,"Dilwyn",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1974-01-01,,
New1522,"Dorstone",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,
New1523,"Eardisland",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,
New1524,"Eardisley ",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1990-01-01,,
5081,"Eastnor",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1991-01-01,,44000761
5091,"Fownhope",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000762
9470,"Hafod Road",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1992-01-01,,44000763
5092,"Hampton Bishop",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1987-01-01,,44000764
5102,"Hampton Park, Hereford",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1969-01-01,,44000765
New1530,"Hereford Central Area ",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1975-01-01,,
1086,"Hoarwithy",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000030
5100,"Huntington",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1975-01-01,,44000766
2498,"Kingsland",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1975-01-01,,44000767
2502,"Kington",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1969-01-01,,44000768
5087,"Ledbury",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,44000769
New1536,"Leinwardine",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,2000-01-01,,
9471,"Leominster Bargates",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,44000771
9472,"Leominster Bridge Street",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,44000772
9473,"Leominster River Meadows",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,44000017
2499,"Leominster Town",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1969-01-01,,44000770
2485,"Lingen",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,44000018
1425,"Linton",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,44000031
7892,"Llanwarne",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,44000032
New1544,"Lucton",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,2000-01-01,,
New1545,"Lugg Bridge, Stapleton",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,2000-01-01,,
5093,"Lugwardine",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1988-01-01,,44000019
2497,"Luston",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1990-01-01,,44000020
New1548,"Malvern Wells",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,
5094,"Mordiford",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000021
1422,"Much Marcle",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000022
7891,"Ocle Pychard",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,44000023
2484,"Orleton",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000024
2501,"Pembridge",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1974-01-01,,44000025
1424,"Peterstow",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000033
5089,"Putley",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,44000026
1421,"Ross-on-Wye",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1976-01-01,,44000034
2507,"Staunton-on-Wye",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,44000027
5144,"Stoke Lacy",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,44000028
5090,"Stretton Grandison",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,44000029
New1560,"Sutton St Nicholas",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,
New1561,"Tedstone Delamere",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,
New1562,"Thornbury",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,
New1563,"Ullingswick",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1993-01-01,,
New1564,"Wellington",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,
New1565,"Weobley",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1977-01-01,,
New1566,"Whitbourne",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1994-01-01,,
5141,"Widemarsh Common",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1975-01-01,,44003838
New1568,"Wigmore",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1995-01-01,,
New1569,"Withington",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,
New1570,"Woolhope",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1978-01-01,,
New1571,"Yarpole",,"No Appraisal document","https://www.herefordshire.gov.uk/conservation-1/conservation-areas/3",,,"",,1984-01-01,,
