reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_303_1,303,"Arncliffe","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-arncliffe-full-final.pdf.pdf",area-appraisal,,,,,44002790
D_307_1,307,"Askrigg","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2022/07/2022-07-14-Askrigg-CAA-Final-Version.pdf",area-appraisal,,,,,44002769
D_307_2,307,"Askrigg","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2022/07/Askrigg-Conservation-Area-Revised-Boundary-Map.pdf,area-map,,,,,44002769
D_312_1,312,"Bainbridge","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/bainbridge_conservation_area_character_appraisal_28-03-00_with_map-6.pdf",area-appraisal,,,,,44002772
D_324_1,324,"Buckden","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/buckden_appraisal_document_-_adopted.pdf",area-appraisal,,,,,44005145
D_329_1,329,"Carperby","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/carperby_conservation_area_character_appraisal_01-03-01_with_map-3.pdf",area-appraisal,,,,,44002773
D_337_1,337,"Castle Bolton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/castle_bolton_conservation_area_character_appraisal_03-11-99_with_map-2.pdf",area-appraisal,,,,,44002771
D_339_1,339,"Clapham","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/ca-adoptedappriasal-clapham.pdf",area-appraisal,,,,,44005138
D_342_1,342,"Dent","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/091202dentfinalv10_final_text_body.pdf",area-appraisal,,,,,44005137
D_342_2,342,"Dent","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/091202dentfinalv10_appendix_a-2.pdf,area-map,,,,,44005137
D_1885_1,1885,"Downholme","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/2018-04-06_gir-Downholme-CAA-ADOPTED-reduced.pdf",area-appraisal,,,,,44006682
D_1885_2,1885,"Downholme","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/Downholme-Map.pdf,area-map,,,,,44006682
D_343_1,343,"East Witton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/east_witton_conservation_area_character_appraisal_27-11-01_with_map-3.pdf",area-appraisal,,,,,44002775
D_352_1,352,"Farfield Mill","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-farfieldmill-full-final.pdf.pdf",area-appraisal,,,,,44002768
D_373_1,373,"Gayle","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/gayle_conservation_area_character_appraisal_01-03-2001_with_map-3.pdf",area-appraisal,,,,,44002774
D_1826_1,1826,"Great Asby","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/06/Great-Asby-Conservation-Area-Character-Appraisal.pdf",area-appraisal,,,,,44003002
D_387_1,387,"Gunnerside","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/gunnerside_conservation_area_character_appraisal_29-01-02_with_map-2.pdf",area-appraisal,,,,,44002788
D_391_1,391,"Hebden","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/hebden_conservation_area_character_appraisal_28-03-06_with_map-2.pdf",area-appraisal,,,,,44002783
D_393_1,393,"Hubberholme","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/conservation_area_review_report_hubberholme_-_new_style.pdf",area-appraisal,,,,,44005146
