reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_6357_1,6357,"Allerford","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning","https://www.exmoor-nationalpark.gov.uk/__data/assets/pdf_file/0021/5934/Allerford-Appraisal-adopted-March-2017.pdf",area-appraisal,,,2017-03-01,,44002969
D_6357_2,6357,"Allerford","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning",https://experience.arcgis.com/experience/a656a9ad981947aebe4a7f7e2c262cb5/#data_s=id%3AdataSource_3-18ba96b8629-layer-15%3A19153&zoom_to_selection=true,area-map,,,2017-03-01,,44002969
D_6358_1,6358,"Bossington and West Lynch","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning","https://www.exmoor-nationalpark.gov.uk/__data/assets/pdf_file/0026/5939/Bossington-Conservation-Area-060219.pdf",area-appraisal,,,2019-01-01,,44002973
D_6358_2,6358,"Bossington and West Lynch","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning",https://experience.arcgis.com/experience/a656a9ad981947aebe4a7f7e2c262cb5/?draft=true#data_s=id%3AdataSource_3-18ba96b8629-layer-15%3A19157&zoom_to_selection=true,area-map,,,2019-01-01,,44002973
D_6359_1,6359,"Colton Farm","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning","https://www.exmoor-nationalpark.gov.uk/__data/assets/pdf_file/0025/5929/ExmoorNat_Farmsteads-060219.pdf",area-appraisal,,,2018-01-01,,44002965
D_6359_2,6359,"Colton Farm","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning",https://experience.arcgis.com/experience/a656a9ad981947aebe4a7f7e2c262cb5/#data_s=id%3AdataSource_3-18ba96b8629-layer-15%3A19149&zoom_to_selection=true,area-map,,,2018-01-01,,44002965
D_6360_1,6360,"Dulverton","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning","https://www.exmoor-nationalpark.gov.uk/__data/assets/pdf_file/0025/5938/ExmoorNat_Dulverton-060219.pdf",area-appraisal,,,2019-01-01,,44002960
D_6360_2,6360,"Dulverton","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning",https://experience.arcgis.com/experience/a656a9ad981947aebe4a7f7e2c262cb5/#data_s=id%3AdataSource_3-18ba96b8629-layer-15%3A19144&zoom_to_selection=true,area-map,,,2019-01-01,,44002960
D_6361_1,6361,"Dunster","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning","https://www.exmoor-nationalpark.gov.uk/__data/assets/pdf_file/0017/5930/ExmoorNat_Dunster-060219.pdf",area-appraisal,,,2018-01-01,,44002971
D_6361_2,6361,"Dunster","https://www.exmoor-nationalpark.gov.uk/planning/planning-advice/conservation-areas-planning",https://experience.arcgis.com/experience/a656a9ad981947aebe4a7f7e2c262cb5/?draft=true#data_s=id%3AdataSource_3-18ba96b8629-layer-15%3A19155&zoom_to_selection=true,area-map,,,2018-01-01,,44002971
