reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
DBC7374,"Beaconsfield Old Town",,"https://www.buckinghamshire.gov.uk/documents/15632/Beaconsfield_Old_Town_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009471
DBC7375,"Boveney",,"https://www.buckinghamshire.gov.uk/documents/27045/Boveney-Conservation-Area-Appraisal1996-Document_c.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009472
DBC7377,"Burnham",,"https://www.buckinghamshire.gov.uk/documents/27046/Burnham_Conservation_Area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009474
DBC7385,"Denham",,"https://www.buckinghamshire.gov.uk/documents/15679/Denham_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009482
DBC7376,"Dorney",,"https://www.buckinghamshire.gov.uk/documents/27047/Dorney-Conservation-Area-Appraisal-1996-Document_c.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009473
DBC8009,"Farnham Royal",,"https://www.buckinghamshire.gov.uk/documents/15688/Farnham_Royal_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009510
DBC8134,"Framewood Road",,"https://www.buckinghamshire.gov.uk/documents/15692/Framewood_Road_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009592
DBC7378,"Fulmer",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009475
DBC7372,"Gerrards Cross Centenary",,"https://www.buckinghamshire.gov.uk/documents/15694/Gerrards_Cross_Common_and_Centenery_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Same documents as Gerrards Cross Common Extra documents are available. ",,,,44009469
DBC7373,"Gerrards Cross Common",,"https://www.buckinghamshire.gov.uk/documents/15694/Gerrards_Cross_Common_and_Centenery_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Same documents as Gerrards Cross Centenary Extra documents are available. ",,,,44009470
DBC7387,"Hampden Hill",,"https://www.buckinghamshire.gov.uk/documents/15703/Hampden_Hill_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009484
DBC7380,"Hedgerley Green",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009477
DBC7379,"Hedgerley Village",,"https://www.buckinghamshire.gov.uk/documents/27049/Hedgerley_Village_Conservation_Area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009476
DBC7381,"Huntercombe",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009478
DBC7382,"Iver",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009479
DBC7383,"Stoke Green",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009480
DBC7384,"Stoke Park",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009481
DBC8133,"Stoke Poges West End",,"https://www.buckinghamshire.gov.uk/documents/15824/Stoke_Poges_West_End_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009591
DBC7388,"Taplow Village",,"https://www.buckinghamshire.gov.uk/documents/15830/Taplow_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009485
DBC7389,"Taplow Riverside",,"https://www.buckinghamshire.gov.uk/documents/15831/Taplow_Riverside_Character_Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009486
DBC7386,"Uxbridge Lock",,"https://www.buckinghamshire.gov.uk/documents/27048/Uxbridge_Lock.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Map match to 44009483 and newer data than 44002436 Extra documents are available. ",,,,44009483
