reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
9549,"Badlesmere",,"No Appraisal document","https://swale.gov.uk/planning-and-regeneration/heritage-and-landscape/conservation-areas/existing-conservation-areas#h2",,,"Interactive map Extra documents are available. ",,,,44002302
9570,"Lynsted, Bogle",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Bogle-conservation-area-character-appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44002261
9555,"Boughton, Boughton Church",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Boughton%20Church%20CACA%20-%20adoption%20version%20-%20June%202019.pdf",,,,"Interactive map Best Map is shown on page 8 of the appraisal document. ",,,,44002253
9554,"Boughton, Boughton Street",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Boughton%20Street%20CACA%20-%20adoption%20version%20-%20June%202019.pdf",,,,"Interactive map Best Map is shown on page 10 of the appraisal document. ",,,,44002051
9556,"Bredgar",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Adopted_Bredgar_Conservation_Area_Appraisal_AA_Final.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 15 of the appraisal document. ",,,,44001795
9557,"Cellar Hill and Greenstreet",,"https://swale.gov.uk/__data/assets/pdf_file/0005/455567/PC2024draft_Cellar-Hill-and-Greenstreet-CACA-AC-new-x-AA-compressed.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 17 of the appraisal document. ",,,,44002181
9550,"Borden, Chestnut Street",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Borden%20Conservation%20Areas%20Appraisals%20and%20Management%20Plan%20Consultation%20Final%20Dec%202022%20x.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 29 of the appraisal document. ",,,,44002252
9565,"Hernhill, Dargate",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Dargate-conservation-area-character-appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44001820
9558,"Doddington and Newnham",,"No Appraisal document",,,,"Interactive map",,,,44002226
9559,"Eastling",,"No Appraisal document",,,,"Interactive map",,,,44002239
2142,"Faversham, Faversham Town",,"https://swale.gov.uk/__data/assets/pdf_file/0008/453905/Faversham_CA_Appraisal_Aug_2023_V3.1_AA_Final.pdf",,,,"Interactive map Best Map is shown on page 45 of the appraisal document. ",,,,44002114
9566,"Hernhill, Fostall",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Fostall-conservation-area-character-appraisal.pdf",,,,"Interactive map",,,,44002011
9560,"Goodnestone",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Graveney-Church-Graveney-Bridge-and-Goodnestone-conservation-areas.pdf",,,,"Interactive map Extra documents are available. ",,,,44002266
9562,"Graveney, Graveney Bridge",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Graveney-Church-Graveney-Bridge-and-Goodnestone-conservation-areas.pdf",,,,"Interactive map Extra documents are available. ",,,,44002259
9561,"Graveney, Graveney Church",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Graveney-Church-Graveney-Bridge-and-Goodnestone-conservation-areas.pdf",,,,"Interactive map Extra documents are available. ",,,,44002005
9552,"Borden, Harman's Corner",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Harmans-Corner-Borden-conservation-area-character-appraisal.pdf",,,,"Interactive map",,,,44001876
9563,"Hartlip",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Adopted_Hartlip_Conservation_Area_Appraisal_AA_Final.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 5 of the appraisal document. ",,,,44002311
9553,"Borden, Hearts Delight",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Hearts-Delight-conservation-area-character-appraisal.pdf",,,,"Interactive map",,,,44002136
9564,"Hernhill",,"No Appraisal document",,,,"Interactive map",,,,44002290
9573,"Milton Regis, High Street",,"https://swale.gov.uk/__data/assets/pdf_file/0004/455566/FINAL_Milton_Regis_CACA.pdf",,,,"Interactive map Best Map is shown on page 18 of the appraisal document. ",,,,44001931
9588,"Sittingbourne",,"https://services.swale.gov.uk/assets/Planning%20Policy%202019/STT_CA_Review_Adoption_version_Feb2023.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 8 of the appraisal document. ",,,,44002234
9567,"Kingsdown",,"No Appraisal document",,,,"Interactive map",,,,44002070
9568,"Lewson Street",,"No Appraisal document",,,,"Interactive map",,,,44001980
9569,"Lower Halstow",,"https://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Lower-Halstow-conservation-area-character-appraisal.pdf",,,,"Interactive map",,,,44002308
9572,"Milstead",,"https://services.swale.gov.uk/assets/Planning-General/Planning-Policy/ConservationAreaMaps/Milsted%20CA%20Review-Final%20-Dec22%20(002)%20A.pdf",,,,"Interactive map Best Map is shown on page 9 of the appraisal document. ",,,,44002125
9574,"Newington, Church",,"No Appraisal document",,,,"Interactive map",,,,44002186
9575,"Newington, High Street",,"No Appraisal document",,,,"Interactive map",,,,44002248
9576,"Newington, Newington Manor",,"No Appraisal document",,,,"Interactive map",,,,44002233
9577,"Faversham, Ospringe",,"http://www.swale.gov.uk/assets/Planning-Forms-and-Leaflets/Planning-General/Planning-Conservation/Ospringe-conservation-area-character-appraisal.pdf",,,,"Interactive map Extra documents are available. ",,,,44001993
9578,"Painter's Forstal",,"No Appraisal document",,,,"Interactive map",,,,44002059
9579,"Faversham, Preston Next",,"https://swale.gov.uk/__data/assets/pdf_file/0009/453906/Preston_Next_Faversham_CA_Appraisal_Aug_2023_V1.4_AA_Final.pdf",,,,"Interactive map Extra documents are available.  Best Map is shown on page 4 of the appraisal document. ",,,,44001951
