reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_2531_1,2531,"Bere Alston","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001162
D_2531_2,2531,"Bere Alston","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/bere-alston,area-map,,,,,44001162
D_2837_1,2837,"Bere Ferrers","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001182
D_2837_2,2837,"Bere Ferrers","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/bere-ferrers,area-map,,,,,44001182
D_2722_1,2722,"Bondleigh","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001172
D_2722_2,2722,"Bondleigh","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/bondleigh,area-map,,,,,44001172
D_2809_1,2809,"Bratton Clovelly","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001176
D_2809_2,2809,"Bratton Clovelly","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/bratton-clovelly,area-map,,,,,44001176
D_2834_1,2834,"Bridestowe","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001179
D_2834_2,2834,"Bridestowe","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/bridestowe,area-map,,,,,44001179
D_2835_1,2835,"Broadwoodkelly","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001180
D_2835_2,2835,"Broadwoodkelly","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/broadwoodkelly,area-map,,,,,44001180
D_2836_1,2836,"Buckland Monachorum","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0","No Appraisal document",area-appraisal,,,,,44001181
D_2836_2,2836,"Buckland Monachorum","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=0",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/buckland-monachorum,area-map,,,,,44001181
D_2533_1,2533,"Eworthy","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1","No Appraisal document",area-appraisal,,,,,44001163
D_2533_2,2533,"Eworthy","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/eworthy,area-map,,,,,44001163
D_2534_1,2534,"Exbourne","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1","No Appraisal document",area-appraisal,,,,,44001164
D_2534_2,2534,"Exbourne","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/exbourne,area-map,,,,,44001164
D_2535_1,2535,"Germansweek","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1","No Appraisal document",area-appraisal,,,,,44001165
D_2535_2,2535,"Germansweek","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1",https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon/germansweek,area-map,,,,,44001165
D_2537_1,2537,"Hatherleigh","https://www.westdevon.gov.uk/planning/conservation-and-listed-buildings/conservation-areas-west-devon?page=1","No Appraisal document",area-appraisal,,,,,44001166
