reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
2718,"Ayot Green",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001777
2717,"Ayot St. Lawrence",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"Same as 44001364. No appraisal document or map",,,,44001776
9886,"Ayot St. Lawrence",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"Same as 44001776. No appraisal document or map",,,,44001364
2715,"Welwyn Garden City, Beehive Area",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001780
2719,"Essendon",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001775
2721,"Northaw Village",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001778
2720,"Old Hatfield",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001774
New4223,"Peartree",,"https://archive.welhat.gov.uk/media/15524/Peartree-Conservation-Area-character-appraisal-March-2019/pdf/PeartreeConservationArea_220308.pdf?m=637829659975970000","https://www.welhat.gov.uk/conservation-areas",,," Best Map is shown on page 8 of the appraisal document. ",,,,
2716,"Welwyn Village",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001773
2714,"Welwyn Garden City",,"No Appraisal document","https://www.welhat.gov.uk/conservation-areas",,,"No appraisal document or map",,,,44001779
