reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
DBC7250,"Abbotsbrook",,"https://www.buckinghamshire.gov.uk/documents/15616/Abbotsbrook-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009396
DBC7251,"Alscot",,"https://www.buckinghamshire.gov.uk/documents/15621/Alscot-conservation-area-character-appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009397
DBC7252,"Amersham Hill",,"https://www.buckinghamshire.gov.uk/documents/15623/Amersham-Hill-CAA.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009398
DBC7253,"Askett",,"https://www.buckinghamshire.gov.uk/documents/15629/Askett-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009399
DBC7254,"Berghers Hill",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Berghers-Hill-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009401
DBC7255,"Bledlow",,"https://www.buckinghamshire.gov.uk/documents/15638/Bledlow-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009402
DBC7256,"Bradenham",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009403
DBC7258,"Cadmore End",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/cadmore-end-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009405
DBC7257,"Cadmore End Common",,"https://www.buckinghamshire.gov.uk/documents/15653/Cadmore-End-Common-Conservation-Area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009404
DBC7259,"Clapton Mill",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/clapton-mill-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009407
DBC7260,"Downley Common",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009409
DBC7261,"Ellesborough",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/ellesborough-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009410
