reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_72_CAN_CA1_1,72_CAN_CA1,"Main Road, Brereton","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/main_road_brereton_adopted_appraisal_may_2009.pdf",area-appraisal,"Extra documents are available. ",local-authority:CAN,,,
D_72_CAN_CA1_2,72_CAN_CA1,"Main Road, Brereton","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation",https://www.cannockchasedc.gov.uk/sites/default/files/site-old/main_road_brereton_conservation_area_map.pdf,area-map,"Extra documents are available. ",local-authority:CAN,,,
D_72_CAN_CA2_1,72_CAN_CA2,"Rugeley Town Centre","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/rugeley_town_centre_ca_appraisal_nov16.pdf",area-appraisal,"Extra documents are available. ",local-authority:CAN,,,
D_72_CAN_CA2_2,72_CAN_CA2,"Rugeley Town Centre","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation",https://www.cannockchasedc.gov.uk/sites/default/files/site-old/rugeley_town_centre_conservation_area_map.pdf,area-map,"Extra documents are available. ",local-authority:CAN,,,
D_72_CAN_CA3_1,72_CAN_CA3,"Cannock Town Centre","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/appraisal_cannock_nov16.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 4 of the appraisal document. ",local-authority:CAN,,,
D_72_CAN_CA4_1,72_CAN_CA4,"North Street, Bridgtown","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/north_street_bridgtown_appraisal_2014.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 3 of the appraisal document. ",local-authority:CAN,,,
D_72_CAN_CA5_1,72_CAN_CA5,"Trent & Mersey Canal","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/trent_mersey_appraisal_update_feb19.pdf",area-appraisal,"3 maps containing one area, will need combiningExtra documents are available. Best Map is shown on page 9,P12,P13 of the appraisal document. ",local-authority:CAN,,,
D_72_CAN_CA6_1,72_CAN_CA6,"Sheepfair Bow Street","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/sheepfair_bow_st_conservation_area_appraisal_jan18.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 4 of the appraisal document. ",local-authority:CAN,,,
D_72_CAN_CA7_1,72_CAN_CA7,"Talbot Street/Lichfield Street","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/talbot_st_appraisal_update_feb19.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 4 of the appraisal document. ",local-authority:CAN,,,
D_72_CAN_CA8_1,72_CAN_CA8,"Church Street, Rugeley","https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/building-conservation","https://www.cannockchasedc.gov.uk/sites/default/files/site-old/church_street_appraisal_update_feb19.pdf",area-appraisal,"Extra documents are available. Best Map is shown on page 4 of the appraisal document. ",local-authority:CAN,,,
