reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
87_CHW_CA1,"Aldersey Green",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-AlderseyGreenCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA2,"Aldford",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA3,"Alvanley",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA4,"Ash Grove",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA5,"Ashton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA6,"Bartington",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA7,"Barton",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20080319-BartonCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA8,"Beeston",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA9,"Bostock",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/BostockConservationAreaAppraisal.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 4 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA10,"Bruera",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA11,"Burton, Neston",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/Burtonconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"No map",local-authority:CHW,,,
87_CHW_CA12,"Burton, Tarporley",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA13,"Capenhurst",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA14,"Chester - Boughton Canalside",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA15,"Chester - Boughton Hall",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA16,"Chester - Boughton and the Meadows",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA17,"Chester - City Centre",,"https://www.cheshirewestandchester.gov.uk/asset-library/2022-Chester-Rows-Design-Guide.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Doesn't seem to be an appraisal document",local-authority:CHW,,,
87_CHW_CA18,"Chester - Curzon Park",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA19,"Chester - Dee Banks",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA20,"Chester - Flookersbrook",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA21,"Chester - Handbridge",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA22,"Chester - Hoole Road",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA23,"Chester - Liverpool Road",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA24,"Chester - Queens Park",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA25,"Chester - Upton Park",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-UptonParkCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA26,"Chester Canal",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/canal-conservation-area-elesmere-port-to-nantwich-latest-version-261118.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Multiple maps covering length of canalBest Map is shown on page 84-P88 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA27,"Chorlton Lane",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA28,"Christleton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA29,"Churton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA30,"Clotton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA31,"Coddington",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-CoddingtonCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA32,"Cuckoo's Nest",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA33,"Cuddington",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA34,"Davenham",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA35,"Dodleston",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA36,"Dunham on the Hill",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-DunhamCA-V011.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA37,"Eaton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA38,"Eccleston",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA39,"Edge",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA40,"Ellesmere Port - Docks Basin",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/epdockconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Low qualityBest Map is shown on page 2 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA41,"Elton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA42,"Farndon",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA43,"Frodsham (Town)",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/FrodshamTownconservationareaappraisal-part1.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA44,"Frodsham, Castle Park",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/FrodshamCastleParkLocaliltyConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 24 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA45,"Frodsham, Overton, Five Crosses",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/FrodshamOvertonFiveCrossesConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 16 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA46,"Frodsham, Overton, St Lawrences",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/FrodshamOvertonStLawrencesConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 23 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA47,"Gorstella",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-GorstellaCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA48,"Great Barrow",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA49,"Great Budworth",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
