reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
231_NGM_CA1,"Old Meadows",,"https://documents.nottinghamcity.gov.uk/download/8437","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA2,"Arboretum",,"https://www.nottinghamcity.gov.uk/media/ubcpltpw/arboretum-conservation-area-caa-mp-nov-2022.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"Best Map is shown on page 41 of the appraisal document. ",local-authority:NGM,,,
231_NGM_CA3,"Averham",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA4,"Balderton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA5,"Barnby in the Willows",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA6,"Besthorpe",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-area-appraisals/Besthorpe-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA7,"Bilsthorpe",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA8,"Bleasby",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA9,"Blidworth",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA10,"Boughton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA11,"Bulcote",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Bulcote-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA12,"Carlton on Trent",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA13,"Caunton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA14,"Coddington",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA15,"Collingham",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Collingham-CA-Appraisal-Full-Version.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA16,"Eakring",,"Tarifas","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA17,"East Stoke",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA18,"Edwinstowe",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/20191126EdwinstoweCAAppraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA19,"Egmanton",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Egmanton-Conservation-Area-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA20,"Elston",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA21,"Epperstone",,"Epperstone Conservation Area Appraisal","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA22,"Farndon",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA23,"Farnsfield",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-area-appraisals/Farnsfield-CA-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA24,"Fiskerton",,"FISKERTON","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA25,"Girton",,"girton conservation area appraisal","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA26,"Halloughton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA27,"Hoveringham",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA28,"Kelham",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA29,"Kersall",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA30,"Kirklington",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA31,"Kirton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA32,"Kneesall",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA33,"Laxton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA34,"Lowdham",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA35,"Maplebeck",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA36,"Morton",,"https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-services/heritage-and-tree-conservation/conservation-areas/Morton-CA-Appraisal.pdf","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA37,"Newark",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA38,"Norwell C.A",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA39,"Ollerton",,"Ollerton Conservation Area Appraisal","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA40,"Oxton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA41,"Southwell",,"Southwell Conservation Area Appraisal","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA42,"South Clifton",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA43,"South Scarle",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA44,"Sutton on Trent",,"Not Available","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
231_NGM_CA45,"Thurgarton",,"Thurgarton Conservation Area Appraisal","https://www.newark-sherwooddc.gov.uk/conservationareas/",,,"",local-authority:NGM,,,
