reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_288_SEV_CA1_1,288_SEV_CA1,"Baldwins Green","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/8/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA1_2,288_SEV_CA1,"Baldwins Green","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/9/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA2_1,288_SEV_CA2,"Bessels Green","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/396/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA2_2,288_SEV_CA2,"Bessels Green","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/397/updated_area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA3_1,288_SEV_CA3,"Brasted Church","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/398/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA3_2,288_SEV_CA3,"Brasted Church","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/downloads/file/399/area_map,area-map,"",local-authority:SEV,,,
D_288_SEV_CA4_1,288_SEV_CA4,"Brasted High Street","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","Brasted High Street Conservation Area Appraisal (2019) | Sevenoaks District Council",area-appraisal,"Extra documents are available. Best Map is shown on page 3 of the appraisal document. ",local-authority:SEV,,,
D_288_SEV_CA5_1,288_SEV_CA5,"Chevening","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/404/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA5_2,288_SEV_CA5,"Chevening","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/405/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA6_1,288_SEV_CA6,"Chiddingstone","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/406/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA6_2,288_SEV_CA6,"Chiddingstone","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/407/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA7_1,288_SEV_CA7,"Chiddingstone Hoath","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/408/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA7_2,288_SEV_CA7,"Chiddingstone Hoath","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/409/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA8_1,288_SEV_CA8,"Chipstead","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/410/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA8_2,288_SEV_CA8,"Chipstead","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/411/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA9_1,288_SEV_CA9,"Chipstead Common","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/412/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
